# AFGL atmospheric constituent profile. midlatitude summer. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   294.2000
SurfacePressure(hPa) =  1013.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
 1 1013.00000   0.0000 294.2000 3.0195E-08 2.3019E-11 2.4000E-09 3.0000E-10 0.0000E+00 1.8776E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 2  902.00000   1.0000 289.7000 3.3398E-08 2.3019E-11 1.0700E-09 2.7400E-10 0.0000E+00 1.3791E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 3  802.00000   2.0000 285.2000 3.6963E-08 2.3014E-11 4.0400E-09 2.3600E-10 0.0000E+00 9.6860E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 4  710.00000   3.0000 279.2000 4.2246E-08 2.3014E-11 2.2700E-10 1.9000E-10 0.0000E+00 5.9877E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 5  628.00000   4.0000 273.2000 4.8242E-08 2.3015E-11 1.4000E-10 1.4600E-10 0.0000E+00 3.8155E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 6  554.00000   5.0000 267.2000 5.5167E-08 2.3020E-11 1.0000E-10 1.1800E-10 0.0000E+00 2.2269E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 7  487.00000   6.0000 261.2000 6.4108E-08 2.3010E-11 7.4400E-11 9.7100E-11 0.0000E+00 1.5107E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 8  426.00000   7.0000 254.7000 7.7678E-08 2.3011E-11 6.0400E-11 8.3000E-11 0.0000E+00 1.0205E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 9  372.00000   8.0000 248.2000 9.1297E-08 2.3009E-11 5.0100E-11 7.2100E-11 0.0000E+00 6.4666E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
