# AFGL atmospheric constituent profile. midlatitude winter. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   272.2000
SurfacePressure(hPa) =  1018.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
 1 1018.00000   0.0000 272.2000 2.7803E-08 2.3019E-11 2.4000E-09 3.0000E-10 0.0000E+00 4.3196E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 2  897.29999   1.0000 268.7000 2.8015E-08 2.3012E-11 1.0700E-09 2.7400E-10 0.0000E+00 3.4559E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 3  789.70001   2.0000 265.2000 2.8506E-08 2.3013E-11 4.0400E-09 2.3600E-10 0.0000E+00 2.7896E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 4  693.79999   3.0000 261.7000 3.2030E-08 2.3022E-11 2.2700E-10 1.9000E-10 0.0000E+00 2.0900E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 5  608.09998   4.0000 255.7000 3.5701E-08 2.3020E-11 1.4000E-10 1.4600E-10 0.0000E+00 1.2811E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 6  531.29999   5.0000 249.7000 4.7227E-08 2.3013E-11 1.0000E-10 1.1800E-10 0.0000E+00 8.2458E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 7  462.70001   6.0000 243.7000 5.8405E-08 2.3014E-11 7.4400E-11 9.7100E-11 0.0000E+00 5.1061E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 8  401.60001   7.0000 237.7000 7.8994E-08 2.3024E-11 6.0400E-11 8.3000E-11 0.0000E+00 2.3235E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 9  347.29999   8.0000 231.7000 1.0393E-07 2.3007E-11 5.0100E-11 7.2100E-11 0.0000E+00 1.0773E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
10  299.29999   9.0000 225.7000 1.5682E-07 2.3217E-11 4.2200E-11 6.5600E-11 0.0000E+00 5.5702E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
11  256.79999  10.0000 219.7000 2.3717E-07 2.3817E-11 3.6300E-11 6.0600E-11 0.0000E+00 2.9621E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
12  219.89999  11.0000 219.2000 3.6265E-07 2.6218E-11 3.4300E-11 5.7900E-11 0.0000E+00 1.0007E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
13  188.20000  12.0000 218.7000 5.2355E-07 3.1521E-11 3.3900E-11 5.6000E-11 0.0000E+00 6.0041E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
14  161.10001  13.0000 218.2000 7.0406E-07 4.4529E-11 3.5000E-11 5.5900E-11 0.0000E+00 5.0033E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
