# AFGL atmospheric constituent profile. subarctic summer. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   287.2000
SurfacePressure(hPa) =  1010.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
 1 1010.00000   0.0000 287.2000 2.4138E-08 2.3017E-11 2.4000E-09 3.0000E-10 0.0000E+00 1.1949E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 2  896.00000   1.0000 281.7000 2.9416E-08 2.3013E-11 1.0700E-09 2.7400E-10 0.0000E+00 8.7058E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 3  792.90002   2.0000 276.3000 3.3814E-08 2.3017E-11 4.0400E-09 2.3600E-10 0.0000E+00 6.7549E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 4  700.00000   3.0000 270.9000 3.8900E-08 2.3018E-11 2.2700E-10 1.9000E-10 0.0000E+00 4.8237E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 5  616.00000   4.0000 265.5000 4.4821E-08 2.3021E-11 1.4000E-10 1.4600E-10 0.0000E+00 3.3831E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 6  541.00000   5.0000 260.1000 5.3333E-08 2.3023E-11 1.0000E-10 1.1800E-10 0.0000E+00 2.2202E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 7  474.00000   6.0000 253.1000 6.5667E-08 2.3010E-11 7.4400E-11 9.7100E-11 0.0000E+00 1.3306E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 8  413.00000   7.0000 246.1000 7.7413E-08 2.3010E-11 6.0400E-11 8.3000E-11 0.0000E+00 7.9744E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 9  359.00000   8.0000 239.2000 9.1221E-08 2.3020E-11 5.0100E-11 7.2100E-11 0.0000E+00 3.9995E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
10  310.79999   9.0000 232.2000 1.4209E-07 2.3215E-11 4.2200E-11 6.5600E-11 0.0000E+00 1.3009E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
11  267.70001  10.0000 225.2000 1.8914E-07 2.3817E-11 3.6300E-11 6.0600E-11 0.0000E+00 4.2431E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
12  230.00000  11.0000 225.2000 3.0520E-07 2.6217E-11 3.4300E-11 5.7900E-11 0.0000E+00 1.3309E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
13  197.70000  12.0000 225.2000 4.1029E-07 3.1523E-11 3.3900E-11 5.6000E-11 0.0000E+00 6.0043E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
14  170.00000  13.0000 225.2000 5.0032E-07 4.4528E-11 3.5000E-11 5.5900E-11 0.0000E+00 4.4528E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
15  146.00000  14.0000 225.2000 6.0043E-07 7.4853E-11 3.6200E-11 5.6400E-11 0.0000E+00 4.0028E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
16  126.00000  15.0000 225.2000 7.0045E-07 1.7111E-10 3.6200E-11 5.7500E-11 0.0000E+00 4.0026E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
17  108.00000  16.0000 225.2000 8.5061E-07 3.1923E-10 3.5800E-11 5.7500E-11 0.0000E+00 4.0029E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
18   92.80000  17.0000 225.2000 1.0008E-06 5.1941E-10 3.5000E-11 5.3700E-11 0.0000E+00 4.0532E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
19   79.80000  18.0000 225.2000 1.3007E-06 7.7144E-10 3.4200E-11 4.7800E-11 0.0000E+00 4.3025E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
20   68.60000  19.0000 225.2000 1.7013E-06 1.0608E-09 3.3900E-11 3.9700E-11 0.0000E+00 4.5034E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
21   59.00000  20.0000 225.2000 2.1016E-06 1.3911E-09 3.4300E-11 3.1900E-11 0.0000E+00 4.6035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
22   50.70000  21.0000 225.2000 2.7023E-06 1.7615E-09 3.6800E-11 2.6700E-11 0.0000E+00 4.7040E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
23   43.60000  22.0000 225.2000 3.3017E-06 2.1611E-09 4.0300E-11 2.2800E-11 0.0000E+00 4.8025E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
24   37.50000  23.0000 225.2000 3.7028E-06 2.5820E-09 4.5000E-11 2.0700E-11 0.0000E+00 4.8337E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
25   32.28000  24.0000 226.6000 4.2050E-06 3.0636E-09 5.0600E-11 1.9000E-11 0.0000E+00 4.8558E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
26   27.80000  25.0000 228.1000 4.5034E-06 3.7428E-09 5.8200E-11 1.7500E-11 0.0000E+00 4.9037E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
27   19.23000  27.5000 231.0000 5.3040E-06 4.8136E-09 7.2100E-11 1.5400E-11 0.0000E+00 4.9537E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
28   13.40000  30.0000 235.1000 5.7038E-06 6.1641E-09 8.7300E-11 1.3400E-11 0.0000E+00 5.0034E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
29    9.40000  32.5000 240.0000 6.9054E-06 7.2156E-09 1.0100E-11 1.2100E-11 0.0000E+00 5.0039E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
30    6.61000  35.0000 247.2000 7.7051E-06 7.2848E-09 1.1100E-10 1.1600E-11 0.0000E+00 5.0033E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
31    4.72000  37.5000 254.6000 7.8073E-06 6.2658E-09 1.1300E-10 1.2100E-11 0.0000E+00 5.0047E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
32    3.40000  40.0000 262.1000 7.0048E-06 4.0328E-09 1.0300E-10 1.3600E-11 0.0000E+00 5.0034E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
33    2.48000  42.5000 269.5000 5.4040E-06 2.1716E-09 7.9500E-11 1.6500E-11 0.0000E+00 5.0037E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
34    1.82000  45.0000 273.6000 4.2026E-06 1.1507E-09 4.8200E-11 2.1000E-11 0.0000E+00 5.0031E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
35    1.34000  47.5000 276.2000 3.2019E-06 6.6639E-10 1.6300E-11 2.7700E-11 0.0000E+00 5.0029E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
36    0.98700  50.0000 277.2000 2.5020E-06 4.4336E-10 5.1000E-12 3.5600E-11 0.0000E+00 4.9540E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
37    0.53700  55.0000 274.0000 1.7018E-06 3.3936E-10 2.0000E-12 4.5900E-11 0.0000E+00 4.8551E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
38    0.28800  60.0000 262.7000 1.2008E-06 2.8520E-10 1.0500E-12 5.1500E-11 0.0000E+00 4.5032E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
39    0.14700  65.0000 239.7000 8.0057E-07 2.5318E-10 6.8600E-13 5.1100E-11 0.0000E+00 4.0029E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
40    0.07100  70.0000 216.6000 4.0031E-07 2.3118E-10 5.1400E-13 4.3200E-11 0.0000E+00 3.3025E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
41    0.03200  75.0000 193.6000 2.0014E-07 2.1515E-10 4.1600E-13 2.8300E-11 0.0000E+00 2.7019E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
42    0.01250  80.0000 170.6000 1.8014E-07 2.0216E-10 3.5300E-13 1.3300E-11 0.0000E+00 2.0015E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
