# AFGL atmospheric constituent profile. subarctic winter. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   257.2000
SurfacePressure(hPa) =  1013.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
 1 1013.00000   0.0000 257.2000 1.8035E-08 2.3019E-11 2.4000E-09 3.0000E-10 0.0000E+00 1.4062E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 2  887.79999   1.0000 259.1000 2.0739E-08 2.3021E-11 1.0700E-09 2.7400E-10 0.0000E+00 1.6165E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 3  777.50000   2.0000 255.9000 2.3375E-08 2.3015E-11 4.0400E-09 2.3600E-10 0.0000E+00 1.4279E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 4  679.79999   3.0000 252.7000 2.7692E-08 2.3018E-11 2.2700E-10 1.9000E-10 0.0000E+00 1.1669E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 5  593.20001   4.0000 247.7000 3.2557E-08 2.3019E-11 1.4000E-10 1.4600E-10 0.0000E+00 7.9046E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 6  515.79999   5.0000 240.9000 3.8039E-08 2.3018E-11 1.0000E-10 1.1800E-10 0.0000E+00 4.3123E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 7  446.70001   6.0000 234.1000 4.4490E-08 2.3016E-11 7.4400E-11 9.7100E-11 0.0000E+00 2.3706E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 8  385.29999   7.0000 227.3000 7.2594E-08 2.3023E-11 6.0400E-11 8.3000E-11 0.0000E+00 1.4715E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 9  330.79999   8.0000 220.6000 1.0409E-07 2.3019E-11 5.0100E-11 7.2100E-11 0.0000E+00 3.3868E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
10  282.89999   9.0000 217.2000 2.1014E-07 2.3215E-11 4.2200E-11 6.5600E-11 0.0000E+00 2.9780E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
11  241.80000  10.0000 217.2000 3.0022E-07 2.3817E-11 3.6300E-11 6.0600E-11 0.0000E+00 2.0014E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
12  206.70000  11.0000 217.2000 3.5027E-07 2.6220E-11 3.4300E-11 5.7900E-11 0.0000E+00 1.0008E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
13  176.60001  12.0000 217.2000 4.0027E-07 3.1521E-11 3.3900E-11 5.6000E-11 0.0000E+00 6.0041E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
14  151.00000  13.0000 217.2000 6.5047E-07 4.4532E-11 3.5000E-11 5.5900E-11 0.0000E+00 4.4532E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
15  129.10001  14.0000 217.2000 9.0062E-07 7.4851E-11 3.6200E-11 5.6400E-11 0.0000E+00 4.5031E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
16  110.30000  15.0000 217.2000 1.2009E-06 1.7113E-10 3.6200E-11 5.7500E-11 0.0000E+00 4.5535E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
17   94.31000  16.0000 216.6000 1.5011E-06 3.1924E-10 3.5800E-11 5.7500E-11 0.0000E+00 4.6035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
18   80.58000  17.0000 216.0000 1.9014E-06 5.1938E-10 3.5000E-11 5.3700E-11 0.0000E+00 4.6534E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
