# AFGL atmospheric constituent profile. tropical. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   299.7000
SurfacePressure(hPa) =  1013.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
 1 1013.00000   0.0000 299.7000 2.8712E-08 2.3018E-11 2.4000E-09 3.0000E-10 0.0000E+00 2.5950E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 2  904.00000   1.0000 293.7000 3.1523E-08 2.3017E-11 1.0700E-09 2.7400E-10 0.0000E+00 1.9505E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 3  805.00000   2.0000 287.7000 3.3443E-08 2.3016E-11 4.0400E-09 2.3600E-10 0.0000E+00 1.5351E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 4  715.00000   3.0000 283.7000 3.5071E-08 2.3020E-11 2.2700E-10 1.9000E-10 0.0000E+00 8.6075E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 5  633.00000   4.0000 277.0000 3.5628E-08 2.3012E-11 1.4000E-10 1.4600E-10 0.0000E+00 4.4433E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 6  559.00000   5.0000 270.3000 3.7698E-08 2.3017E-11 1.0000E-10 1.1800E-10 0.0000E+00 3.3485E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 7  492.00000   6.0000 263.6000 3.9924E-08 2.3019E-11 7.4400E-11 9.7100E-11 0.0000E+00 2.1028E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 8  432.00000   7.0000 257.0000 4.2248E-08 2.3010E-11 6.0400E-11 8.3000E-11 0.0000E+00 1.2895E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 9  378.00000   8.0000 250.3000 4.4759E-08 2.3025E-11 5.0100E-11 7.2100E-11 0.0000E+00 7.6453E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
10  329.00000   9.0000 243.6000 5.0035E-08 2.3216E-11 4.2200E-11 6.5600E-11 0.0000E+00 4.1009E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
11  286.00000  10.0000 237.0000 5.5992E-08 2.3818E-11 3.6300E-11 6.0600E-11 0.0000E+00 1.9135E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
12  247.00000  11.0000 230.1000 6.6174E-08 2.6217E-11 3.4300E-11 5.7900E-11 0.0000E+00 7.3108E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
13  213.00000  12.0000 223.6000 7.8201E-08 3.1520E-11 3.3900E-11 5.6000E-11 0.0000E+00 2.9069E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
14  182.00000  13.0000 217.0000 9.2956E-08 4.4532E-11 3.5000E-11 5.5900E-11 0.0000E+00 9.9070E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
15  156.00000  14.0000 210.3000 1.0508E-07 7.4859E-11 3.6200E-11 5.6400E-11 0.0000E+00 6.2249E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
16  132.00000  15.0000 203.7000 1.2569E-07 1.7113E-10 3.6200E-11 5.7500E-11 0.0000E+00 4.0030E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
17  111.00000  16.0000 197.0000 1.4451E-07 3.1923E-10 3.5800E-11 5.7500E-11 0.0000E+00 3.0022E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
