# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   288.2000
SurfacePressure(hPa) =  1013.0000
IsOcean =  1
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
 1 1013.00000   0.0000 288.2000 2.6623E-08 2.3020E-11 2.4000E-09 3.0000E-10 0.0000E+00 7.7516E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 2  898.79999   1.0000 281.7000 2.9336E-08 2.3021E-11 1.0700E-09 2.7400E-10 0.0000E+00 6.0764E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 3  795.00000   2.0000 275.2000 3.2396E-08 2.3018E-11 4.0400E-09 2.3600E-10 0.0000E+00 4.6347E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 4  701.20001   3.0000 268.7000 3.3196E-08 2.3011E-11 2.2700E-10 1.9000E-10 0.0000E+00 3.1835E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 5  616.59998   4.0000 262.2000 3.3885E-08 2.3010E-11 1.4000E-10 1.4600E-10 0.0000E+00 2.1589E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 6  540.50000   5.0000 255.7000 3.7704E-08 2.3015E-11 1.0000E-10 1.1800E-10 0.0000E+00 1.3979E-03 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 7  472.20001   6.0000 249.2000 4.1137E-08 2.3010E-11 7.4400E-11 9.7100E-11 0.0000E+00 9.2578E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 8  411.10001   7.0000 242.7000 5.0137E-08 2.3022E-11 6.0400E-11 8.3000E-11 0.0000E+00 5.7254E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
 9  356.50000   8.0000 236.2000 5.9705E-08 2.3017E-11 5.0100E-11 7.2100E-11 0.0000E+00 3.6698E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
10  308.00000   9.0000 229.7000 9.1748E-08 2.3217E-11 4.2200E-11 6.5600E-11 0.0000E+00 1.5842E-04 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
11  265.00000  10.0000 223.3000 1.3140E-07 2.3818E-11 3.6300E-11 6.0600E-11 0.0000E+00 7.0013E-05 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
