TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 48 x 10
surfaceTemperature = 306.744
PSUR = 1014.38
boresightNadirAngle = 0.
latitude = 36.0325
longitude = -76.973
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       O3        NO2        HCHO       SO2        CO        
-     hPa          m            K        VMR       VMR       VMR        VMR        VMR        VMR       
  1   1014.3800000 0.000000000  3.1240E2 2.7347E-2 5.5672E-8 3.5979E-10 1.2972E-9  1.3686E-9  1.5016E-7 
  2   1012.0100000 0.021583686  3.1184E2 2.6974E-2 5.6067E-8 3.6190E-10 1.3055E-9  1.3768E-9  1.5051E-7 
  3   1008.9000000 0.049932003  3.1135E2 2.6714E-2 5.6425E-8 3.4777E-10 1.3090E-9  1.3836E-9  1.5067E-7 
  4   1004.3300000 0.091671778  3.1076E2 2.6468E-2 5.6808E-8 3.3544E-10 1.3119E-9  1.3908E-9  1.5103E-7 
  5   997.9250000  0.150360130  3.0999E2 2.6269E-2 5.7266E-8 3.2401E-10 1.3152E-9  1.3999E-9  1.5166E-7 
  6   988.7810000  0.234554730  3.0899E2 2.6058E-2 5.7844E-8 3.1330E-10 1.3198E-9  1.4121E-9  1.5264E-7 
  7   976.8940000  0.344770380  3.0775E2 2.5822E-2 5.8570E-8 3.0315E-10 1.3264E-9  1.4281E-9  1.5400E-7 
  8   962.2640000  0.481645460  3.0621E2 2.5521E-2 5.9531E-8 2.9218E-10 1.3353E-9  1.4504E-9  1.5586E-7 
  9   943.9760000  0.654707840  3.0432E2 2.5012E-2 6.0946E-8 2.7712E-10 1.3432E-9  1.4871E-9  1.5851E-7 
  10  922.0310000  0.865362730  3.0204E2 2.4038E-2 6.5161E-8 2.2684E-10 1.2596E-9  1.6492E-9  1.6429E-7 
  11  896.4280000  1.115358200  2.9941E2 2.1047E-2 6.9196E-8 1.9354E-10 9.5985E-10 1.6757E-9  1.6562E-7 
  12  867.1680000  1.407094400  2.9690E2 1.7208E-2 5.9901E-8 1.1971E-10 7.4344E-10 6.6886E-10 1.4389E-7 
  13  834.2500000  1.744026300  2.9432E2 1.4562E-2 5.6656E-8 9.3437E-11 6.6181E-10 4.1786E-10 1.2794E-7 
  14  797.6750000  2.130235800  2.9113E2 1.2460E-2 5.4400E-8 7.4070E-11 5.8942E-10 3.1552E-10 1.1407E-7 
  15  756.5280000  2.580770600  2.8737E2 1.0430E-2 5.2924E-8 5.7572E-11 5.1836E-10 2.4870E-10 1.0690E-7 
  16  710.8080000  3.103765300  2.8351E2 8.5265E-3 5.4619E-8 5.0711E-11 4.6702E-10 2.6265E-10 1.0710E-7 
  17  664.1750000  3.665501100  2.8014E2 6.1261E-3 6.4207E-8 3.2286E-11 3.7243E-10 1.0536E-10 9.3689E-8 
  18  617.5410000  4.260283300  2.7660E2 3.2455E-3 7.2885E-8 2.2247E-11 2.6902E-10 5.3063E-12 8.5710E-8 
  19  570.9080000  4.891401200  2.7155E2 1.2001E-3 5.8320E-8 1.6617E-11 1.7609E-10 6.4097E-12 8.0797E-8 
  20  518.7880000  5.646113700  2.6624E2 5.1654E-4 5.7287E-8 1.0588E-11 1.2065E-10 1.5839E-11 8.0762E-8 
  21  467.5820000  6.448913600  2.6071E2 3.2322E-4 6.5610E-8 9.5398E-12 8.8318E-11 6.6288E-12 8.0451E-8 
  22  420.9490000  7.242869800  2.5466E2 2.8557E-4 7.6062E-8 1.1607E-11 7.1192E-11 5.0695E-12 8.1001E-8 
  23  373.4010000  8.126456000  2.4797E2 2.4703E-4 8.3114E-8 1.1973E-11 5.5727E-11 6.1800E-12 8.1106E-8 
  24  325.8530000  9.102622400  2.4055E2 2.2622E-4 8.7142E-8 1.1078E-11 4.4080E-11 6.5248E-12 8.0988E-8 
  25  283.7910000  10.062916000 2.3293E2 1.8428E-4 8.9008E-8 1.4069E-11 4.1797E-11 1.0814E-11 8.2299E-8 
  26  247.2160000  10.991763000 2.2569E2 1.2270E-4 9.3101E-8 9.9098E-12 2.9736E-11 8.7055E-12 8.3427E-8 
  27  215.2120000  11.896306000 2.1867E2 7.1151E-5 9.2159E-8 9.3668E-12 2.6789E-11 1.6629E-11 8.1781E-8 
  28  176.9300000  13.130014000 2.1019E2 3.5408E-5 1.0510E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  29  127.8370000  15.117335000 2.0598E2 6.3607E-6 3.0164E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  30  92.3658000   17.092220000 2.0730E2 4.5556E-6 4.9844E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  31  66.6035000   19.107628000 2.1159E2 4.2485E-6 1.6727E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  32  47.6440000   21.217598000 2.1619E2 4.4562E-6 2.7255E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  33  33.8101000   23.423592000 2.2033E2 4.6564E-6 4.6760E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  34  23.7305000   25.742951000 2.2404E2 4.7984E-6 6.4885E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  35  16.4572000   28.189260000 2.2895E2 4.9602E-6 8.4639E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  36  11.2770000   30.767726000 2.3300E2 5.1779E-6 8.9756E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  37  7.6199300    33.497075000 2.3814E2 5.4837E-6 8.7134E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  38  5.0468900    36.430142000 2.4317E2 5.6794E-6 8.0796E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  39  3.2765200    39.579576000 2.4927E2 5.8820E-6 6.3143E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  40  2.0850600    42.973140000 2.5738E2 6.1992E-6 4.4061E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  41  1.3006000    46.607088000 2.6163E2 6.3897E-6 3.1619E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  42  0.7952220    50.391169000 2.5627E2 6.5688E-6 2.2927E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  43  0.4758940    54.257299000 2.5014E2 6.6619E-6 1.4903E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  44  0.2786140    58.181595000 2.4223E2 6.6430E-6 9.9121E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  45  0.1595830    62.163567000 2.3716E2 6.4951E-6 7.1917E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  46  0.0894329    66.236914000 2.3418E2 6.3039E-6 4.7330E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  47  0.0476729    70.622900000 2.3237E2 6.1246E-6 2.1884E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  48  0.0200879    76.617219000 2.3116E2 5.9185E-6 5.3126E-8 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
