TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 48 x 10
surfaceTemperature = 306.11
PSUR = 1007.5
boresightNadirAngle = 0.
latitude = 40.3
longitude = -74.7
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       O3        NO2        HCHO       SO2        CO        
-     hPa          m            K        VMR       VMR       VMR        VMR        VMR        VMR       
  1   1007.5000000 0.000000000  3.1241E2 2.3863E-2 8.3064E-8 8.4803E-9  3.2885E-9  8.3455E-9  3.2841E-7 
  2   1005.1400000 0.021608803  3.1182E2 2.2797E-2 8.5098E-8 7.8136E-9  3.3119E-9  8.4568E-9  3.1955E-7 
  3   1002.0500000 0.049921110  3.1133E2 2.2116E-2 8.6887E-8 6.9638E-9  3.3084E-9  8.5336E-9  3.0847E-7 
  4   997.5160000  0.091541747  3.1074E2 2.1694E-2 8.8356E-8 6.3094E-9  3.3004E-9  8.6069E-9  3.0046E-7 
  5   991.1630000  0.150044610  3.0998E2 2.1330E-2 8.9706E-8 5.7686E-9  3.2907E-9  8.6805E-9  2.9449E-7 
  6   982.0880000  0.234017680  3.0898E2 2.0986E-2 9.1037E-8 5.3028E-9  3.2801E-9  8.7387E-9  2.9014E-7 
  7   970.2910000  0.343933030  3.0773E2 2.0690E-2 9.2395E-8 4.8871E-9  3.2690E-9  8.7301E-9  2.8714E-7 
  8   955.7710000  0.480435010  3.0617E2 2.0395E-2 9.3884E-8 4.4579E-9  3.2538E-9  8.5545E-9  2.8484E-7 
  9   937.6210000  0.653015500  3.0426E2 2.0078E-2 9.5580E-8 3.8475E-9  3.2135E-9  7.9596E-9  2.8136E-7 
  10  915.8410000  0.863112570  3.0200E2 1.9657E-2 9.7771E-8 2.9646E-9  3.0867E-9  6.6493E-9  2.7639E-7 
  11  890.4310000  1.112431900  2.9932E2 1.6408E-2 9.6129E-8 2.3484E-9  2.7885E-9  5.9621E-9  2.6135E-7 
  12  861.3910000  1.403377800  2.9681E2 1.3351E-2 6.3828E-8 5.5201E-10 1.1946E-9  2.4516E-9  1.4052E-7 
  13  828.7210000  1.739384900  2.9416E2 1.0630E-2 4.7070E-8 2.6205E-11 3.8137E-10 1.7184E-10 8.4741E-8 
  14  792.4210000  2.124570600  2.9113E2 8.4377E-3 4.7396E-8 1.2614E-11 3.2548E-10 3.1316E-12 8.2106E-8 
  15  751.5840000  2.574130900  2.8755E2 6.3259E-3 4.8902E-8 2.1113E-11 3.3466E-10 4.1226E-11 8.5515E-8 
  16  706.2090000  3.097028000  2.8450E2 6.1589E-3 5.1091E-8 3.0004E-11 3.7777E-10 1.3180E-10 9.3159E-8 
  17  659.9260000  3.658937100  2.8023E2 5.6101E-3 5.3795E-8 2.4049E-11 3.1194E-10 7.0557E-11 8.5860E-8 
  18  613.6440000  4.251165000  2.7486E2 3.0359E-3 5.3416E-8 1.6384E-11 2.1022E-10 1.4775E-11 7.9463E-8 
  19  567.3620000  4.877905000  2.7023E2 9.7731E-4 5.5681E-8 1.4587E-11 1.4153E-10 1.0110E-12 7.8614E-8 
  20  515.6340000  5.628484200  2.6538E2 5.6965E-4 6.1890E-8 1.2712E-11 1.0685E-10 5.1960E-12 8.0688E-8 
  21  464.8140000  6.426885500  2.5947E2 5.8222E-4 7.2434E-8 1.2845E-11 8.9685E-11 8.8462E-12 8.1666E-8 
  22  418.5320000  7.214994600  2.5295E2 3.8588E-4 8.1876E-8 1.5462E-11 7.2103E-11 9.7324E-12 8.1364E-8 
  23  371.3420000  8.090892900  2.4626E2 2.7122E-4 8.5461E-8 1.2885E-11 5.2184E-11 8.5962E-12 8.1584E-8 
  24  324.1520000  9.058730000  2.3916E2 2.0755E-4 8.7084E-8 9.5810E-12 4.0425E-11 7.9141E-12 8.2040E-8 
  25  282.4070000  10.011285000 2.3170E2 1.5382E-4 8.9333E-8 9.3212E-12 3.3196E-11 7.3336E-12 8.1917E-8 
  26  246.1070000  10.932992000 2.2471E2 1.0994E-4 9.0215E-8 1.0694E-11 2.8574E-11 7.4418E-12 8.1110E-8 
  27  244.9300000  10.964567000 2.2388E2 7.6624E-5 9.9708E-8 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  28  176.9300000  13.043038000 2.1140E2 1.5766E-5 1.6434E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  29  127.8370000  15.048709000 2.0862E2 5.5386E-6 3.4616E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  30  92.3656000   17.049450000 2.1007E2 4.4901E-6 5.1248E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  31  66.6033000   19.089024000 2.1385E2 4.2679E-6 1.3842E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  32  47.6438000   21.217257000 2.1763E2 4.5174E-6 2.6310E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  33  33.8099000   23.435053000 2.2122E2 4.7177E-6 4.2436E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  34  23.7303000   25.764762000 2.2513E2 4.8833E-6 6.5859E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  35  16.4570000   28.223333000 2.3012E2 5.0882E-6 8.2515E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  36  11.2768000   30.815078000 2.3419E2 5.3509E-6 8.6973E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  37  7.6197500    33.553624000 2.3851E2 5.6219E-6 8.4788E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  38  5.0467100    36.495387000 2.4420E2 5.8130E-6 7.8989E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  39  3.2763400    39.665390000 2.5142E2 6.0307E-6 6.0540E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  40  2.0848800    43.094593000 2.6049E2 6.2949E-6 4.1902E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  41  1.3004200    46.764399000 2.6356E2 6.4892E-6 3.0551E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  42  0.7950460    50.585106000 2.5924E2 6.6533E-6 2.2217E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  43  0.4757180    54.507709000 2.5438E2 6.6702E-6 1.4563E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  44  0.2784380    58.488311000 2.4477E2 6.6418E-6 9.8079E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  45  0.1594070    62.506015000 2.3847E2 6.5328E-6 6.9479E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  46  0.0892571    66.602346000 2.3477E2 6.4000E-6 4.8086E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  47  0.0474971    71.007915000 2.3252E2 6.2005E-6 2.2086E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  48  0.0199121    77.038545000 2.3102E2 5.9923E-6 5.0167E-8 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
