TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 48 x 10
surfaceTemperature = 303.473
PSUR = 975.03705
boresightNadirAngle = 0.
latitude = 42.7
longitude = -74.1
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure    Altitude     TATM     H2O       O3        NO2        HCHO       SO2        CO        
-     hPa         m            K        VMR       VMR       VMR        VMR        VMR        VMR       
  1   975.0370000 0.000000000  3.1164E2 2.9269E-2 5.1570E-8 1.1771E-9  1.6212E-9  2.2091E-9  1.5084E-7 
  2   972.7610000 0.021523584  3.1106E2 2.8324E-2 5.2714E-8 1.1132E-9  1.6453E-9  2.2444E-9  1.5063E-7 
  3   969.7860000 0.049673294  3.1051E2 2.7659E-2 5.3640E-8 9.9954E-10 1.6539E-9  2.2677E-9  1.4989E-7 
  4   965.4110000 0.091137301  3.0985E2 2.7044E-2 5.4470E-8 9.0985E-10 1.6581E-9  2.2883E-9  1.4956E-7 
  5   959.2860000 0.149347530  3.0898E2 2.6376E-2 5.5289E-8 8.3420E-10 1.6597E-9  2.3092E-9  1.4959E-7 
  6   950.5360000 0.232872200  3.0791E2 2.5747E-2 5.6151E-8 7.6861E-10 1.6594E-9  2.3322E-9  1.5000E-7 
  7   939.1600000 0.342181820  3.0663E2 2.5211E-2 5.7078E-8 7.1112E-10 1.6573E-9  2.3577E-9  1.5079E-7 
  8   925.1600000 0.477880540  3.0506E2 2.4631E-2 5.8133E-8 6.5557E-10 1.6517E-9  2.3879E-9  1.5195E-7 
  9   907.6590000 0.649412680  3.0314E2 2.3928E-2 5.9426E-8 5.9135E-10 1.6328E-9  2.4288E-9  1.5339E-7 
  10  886.6580000 0.858167840  3.0088E2 2.2846E-2 6.0772E-8 4.2534E-10 1.4963E-9  2.4921E-9  1.5377E-7 
  11  862.1570000 1.105930500  2.9833E2 2.0708E-2 6.2666E-8 2.6865E-10 1.2500E-9  2.5139E-9  1.5280E-7 
  12  834.1560000 1.395052900  2.9561E2 1.8008E-2 5.7304E-8 1.2204E-10 8.1994E-10 1.2812E-9  1.2492E-7 
