Date         TIME (UTC)             Surface Skin Temperature
2007070912,      12,                 301.420
Pressure at bottom of layer (Pa),Pressure at midpoint of layer (Pa),Geopotential height at bottom of layer (m),Geopotential height at midpoint of layer (m),Latitude,Longitude,Temperature (K),Water Vapor mixing ratio (kg/kg),O3 (ppm),NO2 (ppm),HCHO (ppm),SO2 (ppm),CO (ppm),cloud optical thickness of ice,cloud optical thickness for water,aerosol optical depth at 300nm,aerosol optical depth at 400nm,aerosol optical depth at 600nm,aerosol optical depth at 999nm,assymetry parameter at 300nm,assymetry parameter at 400nm,assymetry parameter at 600nm,assymetry parameter at 999nm,single scattering albedo at 300nm,single scattering albedo at 400nm,single scattering albedo at 600nm,single scattering albedo at 999nm
      100817.,      100700.,       29.949100,       40.392200,      40.3000,     -74.7000,       305.54700,    0.0149753,    0.0359161,     0.014434200,    0.0019026500,    0.0099548502,      0.50865197,       0.0000000,       0.0000000,     0.018762700,     0.012506800,    0.0059151398,    0.0020075799,      0.75053000,      0.68065900,      0.61200899,      0.49123201,      0.92754698,      0.91660100,      0.89206398,      0.82754701
      100581.,      100425.,       50.835300,       64.504898,      40.3000,     -74.7000,       305.01099,    0.0146270,    0.0369249,     0.014221500,    0.0020479499,     0.010179800,      0.50171798,       0.0000000,       0.0000000,     0.024168501,     0.016126100,    0.0076280599,    0.0025871701,      0.74940401,      0.68035001,      0.61184102,      0.49225000,      0.92839402,      0.91768903,      0.89354998,      0.82979202
      100272.,      100040.,       78.174400,       98.324699,      40.3000,     -74.7000,       304.57001,    0.0143393,    0.0389507,     0.013396100,    0.0022278200,     0.010541500,      0.47890300,       0.0000000,       0.0000000,     0.033999398,     0.022689400,     0.010698200,    0.0036223801,      0.74697101,      0.67926103,      0.60868800,      0.49038801,      0.92794502,      0.91740000,      0.89270800,      0.82819301
      99818.2,      99491.1,       118.47500,       146.79800,      40.3000,     -74.7000,       304.11301,    0.0139342,    0.0478152,    0.0093933400,    0.0028316800,     0.012241700,      0.37831199,       0.0000000,       0.0000000,     0.013404500,    0.0085043898,    0.0040599001,    0.0014166100,      0.65123999,      0.63560897,      0.53578502,      0.50066501,      0.90563601,      0.88607502,      0.85908002,      0.78582501
      99182.4,      98717.5,       175.12100,       215.87500,      40.3000,     -74.7000,       303.97601,    0.0121970,    0.0566376,    0.0054905098,    0.0032353899,     0.013753100,      0.28955400,       0.0000000,       0.0000000,     0.010158700,    0.0062184101,    0.0029193701,    0.0010258600,      0.60279799,      0.59928101,      0.51855201,      0.50502503,      0.92457998,      0.90604401,      0.88250703,      0.82338798
      98274.3,      97657.3,       256.63000,       310.24600,      40.3000,     -74.7000,       304.29099,    0.0106266,    0.0632789,    0.0028725101,    0.0033048100,     0.013544400,      0.22871900,       0.0000000,       0.0000000,     0.010628500,    0.0064948299,    0.0029804499,    0.0010488300,      0.59927201,      0.59551698,      0.51586801,      0.50938302,      0.93752402,      0.91968501,      0.89756900,      0.84394801
      97093.6,      96331.9,       363.86200,       430.67200,      40.3000,     -74.7000,       303.89401,    0.0100679,    0.0679643,    0.0012553700,    0.0030699300,    0.0093737999,      0.19001000,       0.0000000,       0.0000000,     0.012816100,    0.0077434699,    0.0034245900,    0.0011654299,      0.60056800,      0.59302199,      0.50321102,      0.49346799,      0.94580299,      0.92834097,      0.90475303,      0.84895301
      95640.6,      94687.2,       497.48199,       582.21002,      40.3000,     -74.7000,       303.05399,   0.00972998,    0.0717218,   0.00054878503,    0.0026610801,    0.0065737600,      0.16917300,       0.0000000,       0.0000000,     0.017173700,     0.010332600,    0.0045165201,    0.0015022700,      0.60222399,      0.59511399,      0.49765801,      0.48180300,      0.94683999,      0.92944902,      0.90515399,      0.84722799
      93824.2,      92677.5,       666.93799,       770.27399,      40.3000,     -74.7000,       301.47198,   0.00970427,    0.0737611,   0.00032749400,    0.0021448799,    0.0051847501,      0.15908100,       0.0000000,       0.0000000,     0.020572100,     0.012180400,    0.0052675498,    0.0017520700,      0.59738803,      0.58106798,      0.48902601,      0.47942099,      0.94642299,      0.92820799,      0.90175301,      0.84200400
      91644.6,      90302.9,       873.60901,       996.47900,      40.3000,     -74.7000,       299.38000,   0.00949185,    0.0705476,   0.00025317899,    0.0016369200,    0.0037810099,      0.14794201,       0.0000000,       0.0000000,     0.015863299,    0.0095054898,    0.0043421201,    0.0015781000,      0.58925903,      0.57794797,      0.50976998,      0.51514202,      0.93688101,      0.91616601,      0.88988000,      0.83626997
      89101.7,      87564.8,       1119.3500,       1263.0100,      40.3000,     -74.7000,       297.00601,   0.00848898,    0.0631104,   0.00017073400,    0.0012064599,    0.0020988099,      0.13181201,       0.0000000,       0.0000000,    0.0092759104,    0.0059219999,    0.0031084199,    0.0013132500,      0.60930198,      0.61449802,      0.56629401,      0.56427300,      0.91576600,      0.89255601,      0.87310100,      0.83455700
      86195.6,      84463.5,       1406.6801,       1572.9200,      40.3000,     -74.7000,       294.68301,   0.00746673,    0.0522227,   7.8288802e-05,   0.00071045401,   0.00072300900,      0.10820400,       0.0000000,       0.0000000,    0.0046942099,    0.0033522199,    0.0021818599,    0.0011305501,      0.66188699,      0.66252500,      0.64472598,      0.63112301,      0.88356298,      0.86349702,      0.86181998,      0.84896201
      82926.2,      81000.8,       1739.1700,       1930.1801,      40.3000,     -74.7000,       292.22101,   0.00671448,    0.0477532,   2.8480999e-05,   0.00039795600,   8.5032800e-05,     0.091880500,       0.0000000,       0.0000000,    0.0030062301,    0.0026497000,    0.0021762501,    0.0013029900,      0.76879799,      0.75005698,      0.72753698,      0.69045597,      0.83590698,      0.84595698,      0.86984003,      0.86955601
      79293.5,      77131.9,       2121.1799,       2344.4600,      40.3000,     -74.7000,       289.13599,   0.00536605,    0.0502011,   2.3643899e-05,   0.00032891001,   9.3657201e-07,     0.086122498,       0.0000000,       0.0000000,    0.0038843600,    0.0033267699,    0.0026338601,    0.0015437800,      0.75865000,      0.73602098,      0.71838403,      0.68446100,      0.84233898,      0.84825402,      0.86833000,      0.86542302
      75206.7,      72814.0,       2567.7400,       2827.3201,      40.3000,     -74.7000,       285.59100,   0.00399398,    0.0503488,   2.1633399e-05,   0.00029642700,   2.4154499e-06,     0.083966099,       0.0000000,       0.0000000,    0.0038244801,    0.0031420300,    0.0024864001,    0.0014351500,      0.74247700,      0.71309799,      0.69364899,      0.65542400,      0.83126998,      0.82337201,      0.85106403,      0.84734797
      70665.8,      68225.8,       3086.8999,       3366.2400,      40.3000,     -74.7000,       282.31299,   0.00452846,    0.0532655,   2.7882999e-05,   0.00035850299,   0.00019534001,     0.096596003,       0.0000000,       0.0000000,    0.0057392302,    0.0044924198,    0.0031559800,    0.0016618000,      0.68387300,      0.68823498,      0.66379899,      0.62815499,      0.84880102,      0.83664298,      0.85101700,      0.83840400
      66034.2,      63589.3,       3645.5701,       3941.2500,      40.3000,     -74.7000,       278.52600,   0.00494648,    0.0545550,   2.1547299e-05,   0.00035647000,   0.00022074299,     0.099146202,       0.0000000,       0.0000000,    0.0062043802,    0.0048001702,    0.0033090599,    0.0017111900,      0.67352998,      0.68338102,      0.65683198,      0.62103099,      0.83546603,      0.82306498,      0.83603603,      0.82185203
      61402.5,      58953.2,       4236.9302,       4551.0298,      40.3000,     -74.7000,       274.30701,   0.00428414,    0.0548426,   1.7953500e-05,   0.00034532600,   0.00021714400,      0.10181200,       0.0000000,       0.0000000,    0.0097786598,    0.0074780299,    0.0050020702,    0.0026045099,      0.71311700,      0.69324499,      0.70639700,      0.67671800,      0.89671600,      0.89157897,      0.89416403,      0.88302100
      56770.8,      54049.1,       4865.1401,       5241.9702,      40.3000,     -74.7000,       269.95401,   0.00319616,    0.0561890,   1.5531899e-05,   0.00030749501,   0.00024363000,      0.10445700,       0.0000000,       0.0000000,     0.010340500,    0.0078298803,    0.0052545201,    0.0027414900,      0.71845400,      0.69102198,      0.70532101,      0.67585701,      0.90609199,      0.89954799,      0.90107501,      0.88982302
      51594.2,      48923.5,       5618.7998,       6020.6299,      40.3000,     -74.7000,       265.21201,   0.00209999,    0.0590091,   1.1768400e-05,   0.00023486100,   0.00024845899,      0.10262200,       0.0000000,       0.0000000,    0.0085575096,    0.0065878700,    0.0045295702,    0.0024202699,      0.71427399,      0.69154000,      0.70116001,      0.67409497,      0.89711601,      0.89147401,      0.89336902,      0.88254100
      46508.5,      44074.7,       6422.4502,       6820.6299,      40.3000,     -74.7000,       259.97501,   0.00130061,    0.0619616,   8.2505203e-06,   0.00015689900,   0.00017393600,     0.095602199,       0.0000000,       0.0000000,    0.0059299800,    0.0046379301,    0.0033131000,    0.0018084500,      0.71305799,      0.68943602,      0.68416601,      0.64998603,      0.86470199,      0.85509300,      0.86391801,      0.85239297
      41876.8,      39410.4,       7218.8101,       7662.2798,      40.3000,     -74.7000,       253.92799,  0.000747487,    0.0651493,   7.4233199e-06,   9.9583704e-05,   7.6784600e-05,     0.087868698,       0.0000000,       0.0000000,    0.0051833699,    0.0041901302,    0.0032338400,    0.0018385201,      0.72338998,      0.70029199,      0.68826401,      0.65155798,      0.83496600,      0.82471502,      0.84771800,      0.84187597
      37154.3,      34703.0,       8105.7500,       8595.5898,      40.3000,     -74.7000,       246.97301,  0.000352860,    0.0696432,   7.9250503e-06,   6.7327397e-05,   2.2729500e-05,     0.083989799,       0.0000000,       0.0000000,    0.0052654701,    0.0043393602,    0.0034483001,    0.0019999200,      0.73151100,      0.70943701,      0.69291699,      0.65024298,      0.82293999,      0.81643301,      0.84554100,      0.84328800
      32431.8,      30268.4,       9085.4199,       9567.2803,      40.3000,     -74.7000,       239.54601,  0.000151693,    0.0755446,   6.8052700e-06,   4.9004699e-05,   6.9147400e-06,     0.082763501,       0.0000000,       0.0000000,    0.0049293102,    0.0040814099,    0.0032717900,    0.0019151201,      0.73083800,      0.71093398,      0.69447702,      0.64739799,      0.82031900,      0.81577200,      0.84723097,      0.84660900
      28254.2,      26377.4,       10049.100,       10515.300,      40.3000,     -74.7000,       232.23100,  9.77480e-05,    0.0816878,   6.4041301e-06,   3.9043800e-05,   8.3659397e-06,     0.082753100,       0.0000000,       0.0000000,    0.0049456502,    0.0040922100,    0.0032544199,    0.0019120401,      0.73349798,      0.71194899,      0.69951999,      0.64913303,      0.83430398,      0.83213300,      0.86058098,      0.85929298
      24621.6,      22984.1,       10981.400,       11434.600,      40.3000,     -74.7000,       224.81000,  7.22235e-05,    0.0863346,   6.2444801e-06,   3.3272499e-05,   8.4503299e-06,     0.085409902,       0.0000000,       0.0000000,    0.0053931498,    0.0044801198,    0.0035080800,    0.0021074801,      0.72922301,      0.71099198,      0.70790303,      0.65399498,      0.86593401,      0.87224400,      0.89186800,      0.89363599
      21443.0,      19998.1,       11887.700,       12334.100,      40.3000,     -74.7000,       217.57700,  4.11302e-05,    0.0893656,   6.7586402e-06,   2.9845700e-05,   6.2352701e-06,     0.084971599,       0.0000000,       0.0000000,    0.0052448302,    0.0043534199,    0.0034169899,    0.0020770100,      0.72977000,      0.71217102,      0.71453100,      0.65888101,      0.87843001,      0.88611799,      0.90435100,      0.90715402
      20817.3,      19248.5,       12103.607,       12609.874,      40.3000,     -74.7000,       215.87701,  2.25884e-05,     0.138151,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      17693.0,      16366.2,       13164.835,       13638.210,      40.3000,     -74.7000,       210.60582,  1.34643e-05,     0.256018,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      15039.3,      13911.5,       14111.586,       14661.466,      40.3000,     -74.7000,       208.13999,  5.92716e-06,     0.383574,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      12783.7,      11825.0,       15216.674,       15688.634,      40.3000,     -74.7000,       208.20236,  3.57458e-06,     0.314098,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      10866.3,      10051.4,       16160.595,       16561.746,      40.3000,     -74.7000,       208.25537,  3.04499e-06,     0.427931,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      9236.57,      8543.90,       17142.234,       17645.944,      40.3000,     -74.7000,       209.74881,  2.83357e-06,     0.439129,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      7851.23,      7255.79,       18149.655,       18582.662,      40.3000,     -74.7000,       211.06860,  2.69493e-06,      1.01625,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      6660.34,      6149.57,       19127.841,       19667.956,      40.3000,     -74.7000,       213.99501,  2.66494e-06,      1.44252,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      5638.79,      5201.59,       20208.074,       20670.387,      40.3000,     -74.7000,       216.96493,  2.74405e-06,      2.28594,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      4764.39,      4390.97,       21219.285,       21751.386,      40.3000,     -74.7000,       218.40314,  2.82304e-06,      2.82984,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
      4017.54,      3699.27,       22283.489,       22866.615,      40.3000,     -74.7000,       219.86958,  2.89732e-06,      3.39690,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000,      -999.00000
