   lamda    c0    c1    c2
  250.0000    0.0000E+00    0.0000E+00    0.0000E+00
  250.0100    0.0000E+00    0.0000E+00    0.0000E+00
  250.0200    0.0000E+00    0.0000E+00    0.0000E+00
  250.0300    0.0000E+00    0.0000E+00    0.0000E+00
  250.0400    0.0000E+00    0.0000E+00    0.0000E+00
  250.0500    0.0000E+00    0.0000E+00    0.0000E+00
  250.0600    0.0000E+00    0.0000E+00    0.0000E+00
  250.0700    0.0000E+00    0.0000E+00    0.0000E+00
  250.0800    0.0000E+00    0.0000E+00    0.0000E+00
  250.0900    0.0000E+00    0.0000E+00    0.0000E+00
  250.1000    0.0000E+00    0.0000E+00    0.0000E+00
  250.1100    0.0000E+00    0.0000E+00    0.0000E+00
  250.1200    0.0000E+00    0.0000E+00    0.0000E+00
  250.1300    0.0000E+00    0.0000E+00    0.0000E+00
  250.1400    0.0000E+00    0.0000E+00    0.0000E+00
  250.1500    0.0000E+00    0.0000E+00    0.0000E+00
  250.1600    0.0000E+00    0.0000E+00    0.0000E+00
  250.1700    0.0000E+00    0.0000E+00    0.0000E+00
  250.1800    0.0000E+00    0.0000E+00    0.0000E+00
  250.1900    0.0000E+00    0.0000E+00    0.0000E+00
  250.2000    0.0000E+00    0.0000E+00    0.0000E+00
  250.2100    0.0000E+00    0.0000E+00    0.0000E+00
  250.2200    0.0000E+00    0.0000E+00    0.0000E+00
  250.2300    0.0000E+00    0.0000E+00    0.0000E+00
  250.2400    0.0000E+00    0.0000E+00    0.0000E+00
  250.2500    0.0000E+00    0.0000E+00    0.0000E+00
  250.2600    0.0000E+00    0.0000E+00    0.0000E+00
  250.2700    0.0000E+00    0.0000E+00    0.0000E+00
  250.2800    0.0000E+00    0.0000E+00    0.0000E+00
  250.2900    0.0000E+00    0.0000E+00    0.0000E+00
  250.3000    0.0000E+00    0.0000E+00    0.0000E+00
  250.3100    0.0000E+00    0.0000E+00    0.0000E+00
  250.3200    0.0000E+00    0.0000E+00    0.0000E+00
  250.3300    0.0000E+00    0.0000E+00    0.0000E+00
  250.3400    0.0000E+00    0.0000E+00    0.0000E+00
  250.3500    0.0000E+00    0.0000E+00    0.0000E+00
  250.3600    0.0000E+00    0.0000E+00    0.0000E+00
  250.3700    0.0000E+00    0.0000E+00    0.0000E+00
  250.3800    0.0000E+00    0.0000E+00    0.0000E+00
  250.3900    0.0000E+00    0.0000E+00    0.0000E+00
  250.4000    0.0000E+00    0.0000E+00    0.0000E+00
  250.4100    0.0000E+00    0.0000E+00    0.0000E+00
  250.4200    0.0000E+00    0.0000E+00    0.0000E+00
  250.4300    0.0000E+00    0.0000E+00    0.0000E+00
  250.4400    0.0000E+00    0.0000E+00    0.0000E+00
  250.4500    0.0000E+00    0.0000E+00    0.0000E+00
  250.4600    0.0000E+00    0.0000E+00    0.0000E+00
  250.4700    0.0000E+00    0.0000E+00    0.0000E+00
  250.4800    0.0000E+00    0.0000E+00    0.0000E+00
  250.4900    0.0000E+00    0.0000E+00    0.0000E+00
  250.5000    0.0000E+00    0.0000E+00    0.0000E+00
  250.5100    0.0000E+00    0.0000E+00    0.0000E+00
  250.5200    0.0000E+00    0.0000E+00    0.0000E+00
  250.5300    0.0000E+00    0.0000E+00    0.0000E+00
  250.5400    0.0000E+00    0.0000E+00    0.0000E+00
  250.5500    0.0000E+00    0.0000E+00    0.0000E+00
  250.5600    0.0000E+00    0.0000E+00    0.0000E+00
  250.5700    0.0000E+00    0.0000E+00    0.0000E+00
  250.5800    0.0000E+00    0.0000E+00    0.0000E+00
  250.5900    0.0000E+00    0.0000E+00    0.0000E+00
  250.6000    0.0000E+00    0.0000E+00    0.0000E+00
  250.6100    0.0000E+00    0.0000E+00    0.0000E+00
  250.6200    0.0000E+00    0.0000E+00    0.0000E+00
  250.6300    0.0000E+00    0.0000E+00    0.0000E+00
  250.6400    0.0000E+00    0.0000E+00    0.0000E+00
  250.6500    0.0000E+00    0.0000E+00    0.0000E+00
  250.6600    0.0000E+00    0.0000E+00    0.0000E+00
  250.6700    0.0000E+00    0.0000E+00    0.0000E+00
  250.6800    0.0000E+00    0.0000E+00    0.0000E+00
  250.6900    0.0000E+00    0.0000E+00    0.0000E+00
  250.7000    0.0000E+00    0.0000E+00    0.0000E+00
  250.7100    0.0000E+00    0.0000E+00    0.0000E+00
  250.7200    0.0000E+00    0.0000E+00    0.0000E+00
  250.7300    0.0000E+00    0.0000E+00    0.0000E+00
