TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 38 x 15
surfaceTemperature = 275.99756
PSUR = 1014.41
boresightNadirAngle = 0.
latitude = 45.0
longitude = -9.50
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude    TATM     H2O       CO2    O3        N2O        CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m           K        VMR       VMR    VMR       VMR        VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  1  1013.0000000  0.00000000  2.8820E+02  7.7516E-03  3.8033E-04  2.6623E-08  3.1423E-07  8.8651E-08  1.7000E-06  2.0918E-01  4.9541E-12  2.3020E-11  2.2375E-11  1.0000E-20
  2   898.7999900  1.00000000  2.8170E+02  6.0764E-03  3.8034E-04  2.9336E-08  3.1432E-07  8.8138E-08  1.7000E-06  2.0919E-01  3.5790E-12  2.3021E-11  3.1123E-11  1.0000E-20
  3   795.0000000  2.00000000  2.7520E+02  4.6347E-03  3.8030E-04  3.2396E-08  3.1437E-07  8.8267E-08  1.7000E-06  2.0917E-01  2.3909E-12  2.3018E-11  4.1033E-11  1.0000E-20
  4   701.2000100  3.00000000  2.6870E+02  3.1835E-03  3.8018E-04  3.3196E-08  3.1429E-07  8.9316E-08  1.7000E-06  2.0910E-01  2.0394E-12  2.3011E-11  5.5174E-11  1.0000E-20
  5   616.5999800  4.00000000  2.6220E+02  2.1589E-03  3.8016E-04  3.3885E-08  3.1426E-07  9.0328E-08  1.7000E-06  2.0909E-01  2.2956E-12  2.3010E-11  6.3606E-11  1.0000E-20
  6   540.5000000  5.00000000  2.5570E+02  1.3979E-03  3.8025E-04  3.7704E-08  3.1432E-07  9.5816E-08  1.7000E-06  2.0914E-01  3.1782E-12  2.3015E-11  7.0102E-11  1.0000E-20
  7   472.2000100  6.00000000  2.4920E+02  9.2578E-04  3.8016E-04  4.1137E-08  3.1457E-07  1.1068E-07  1.7000E-06  2.0909E-01  3.7509E-12  2.3010E-11  6.0205E-11  1.0000E-20
  8   411.1000100  7.00000000  2.4270E+02  5.7254E-04  3.8036E-04  5.0137E-08  3.1470E-07  1.2230E-07  1.7000E-06  2.0920E-01  4.0581E-12  2.3022E-11  5.2534E-11  1.0000E-20
  9   356.5000000  8.00000000  2.3620E+02  3.6698E-04  3.8029E-04  5.9705E-08  3.1446E-07  1.2424E-07  1.7000E-06  2.0916E-01  6.3748E-12  2.3017E-11  7.8470E-11  1.0000E-20
 10   308.0000000  9.00000000  2.2970E+02  1.5842E-04  3.8028E-04  9.1748E-08  3.1370E-07  1.1978E-07  1.6900E-06  2.0915E-01  1.3063E-11  2.3217E-11  1.6532E-10  1.0000E-20
