TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 285.81487
PSUR = 1017.24
boresightNadirAngle = 0.
latitude = -39.245551
longitude = 180.71173
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude    TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m           K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  1   1017.2400000 0.00000000  2.8517E2 9.8192E-3 3.8E-4 2.7651E-8 3.1383E-7 9.0393E-8 1.6313E-6 1.E-20 4.8194E-12 1.9987E-11 1.8256E-11 1.E-20
  2   1000.0000000 0.14287364  2.8403E2 1.0090E-2 3.8E-4 2.7471E-8 3.1380E-7 9.0768E-8 1.6314E-6 1.E-20 4.6429E-12 2.0711E-11 1.9625E-11 1.E-20
  3   908.5140000  0.93411607  2.7772E2 8.1107E-3 3.8E-4 2.9308E-8 3.1397E-7 9.1405E-8 1.6337E-6 1.E-20 4.2678E-12 1.6658E-11 3.2357E-11 1.E-20
  4   825.4020000  1.70889430  2.7272E2 5.4308E-3 3.8E-4 3.3866E-8 3.1409E-7 9.1501E-8 1.6404E-6 1.E-20 3.8590E-12 1.2280E-11 4.1971E-11 1.E-20
  5   749.8930000  2.47165010  2.6940E2 4.6127E-3 3.8E-4 3.7901E-8 3.1403E-7 9.1002E-8 1.6444E-6 1.E-20 4.0546E-12 1.0508E-11 6.0174E-11 1.E-20
  6   681.2910000  3.22580340  2.6657E2 4.3825E-3 3.8E-4 3.8519E-8 3.1406E-7 9.2788E-8 1.6456E-6 1.E-20 3.9628E-12 8.4742E-12 7.1585E-11 1.E-20
  7   618.9660000  3.97222520  2.6381E2 4.3199E-3 3.8E-4 3.5889E-8 3.1423E-7 9.7132E-8 1.6450E-6 1.E-20 3.4731E-12 6.0633E-12 6.3590E-11 1.E-20
  8   562.3420000  4.70972430  2.6018E2 3.5102E-3 3.8E-4 3.4716E-8 3.1442E-7 1.0256E-7 1.6467E-6 1.E-20 3.6230E-12 3.8626E-12 4.5911E-11 1.E-20
  9   510.8980000  5.43645310  2.5619E2 2.7025E-3 3.8E-4 3.4858E-8 3.1459E-7 1.0753E-7 1.6492E-6 1.E-20 4.3707E-12 2.6803E-12 3.5996E-11 1.E-20
  10  464.1600000  6.15051190  2.5122E2 1.8055E-3 3.8E-4 3.9491E-8 3.1469E-7 1.0972E-7 1.6538E-6 1.E-20 5.2044E-12 2.6630E-12 3.8677E-11 1.E-20
  11  421.6980000  6.85009260  2.4594E2 1.1505E-3 3.8E-4 4.4817E-8 3.1472E-7 1.1245E-7 1.6590E-6 1.E-20 6.1669E-12 2.7140E-12 4.8292E-11 1.E-20
  12  383.1170000  7.53447700  2.4037E2 7.0191E-4 3.8E-4 5.0457E-8 3.1469E-7 1.1583E-7 1.6647E-6 1.E-20 7.1857E-12 2.7949E-12 6.4467E-11 1.E-20
  13  348.0690000  8.20284340  2.3457E2 4.0658E-4 3.8E-4 5.4607E-8 3.1459E-7 1.1902E-7 1.6694E-6 1.E-20 8.2077E-12 2.7865E-12 7.8589E-11 1.E-20
  14  316.2270000  8.85496790  2.2877E2 2.3311E-4 3.8E-4 5.9834E-8 3.1444E-7 1.2139E-7 1.6746E-6 1.E-20 9.5286E-12 2.8530E-12 9.5341E-11 1.E-20
  15  287.2980000  9.49138340  2.2334E2 1.3490E-4 3.8E-4 7.6911E-8 3.1411E-7 1.1764E-7 1.6851E-6 1.E-20 1.2943E-11 3.7639E-12 1.2610E-10 1.E-20
  16  261.0160000  10.11326900 2.1838E2 8.0990E-5 3.8E-4 9.8391E-8 3.1321E-7 1.0678E-7 1.6905E-6 1.E-20 1.9927E-11 5.6110E-12 1.8849E-10 1.E-20
  17  237.1370000  10.72228000 2.1409E2 5.1310E-5 3.8E-4 1.2456E-7 3.1151E-7 8.8416E-8 1.6882E-6 1.E-20 3.6782E-11 9.9604E-12 3.2817E-10 1.E-20
  18  215.4440000  11.32117200 2.1114E2 3.8120E-5 3.8E-4 1.6825E-7 3.0637E-7 7.0488E-8 1.6681E-6 1.E-20 5.3119E-11 1.6518E-11 5.2479E-10 1.E-20
  19  195.7350000  11.91270700 2.0877E2 3.0259E-5 3.8E-4 2.3423E-7 2.9992E-7 5.5489E-8 1.6409E-6 1.E-20 6.9396E-11 2.6688E-11 8.1002E-10 1.E-20
  20  177.8290000  12.50095500 2.0872E2 1.9794E-5 3.8E-4 3.9626E-7 2.9661E-7 4.6673E-8 1.6275E-6 1.E-20 6.4542E-11 3.5900E-11 9.2369E-10 1.E-20
