TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 302.39513
PSUR = 1006.77
boresightNadirAngle = 0.
latitude = -19.810126
longitude = 171.97993
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  1   1006.7700000 0.000000000  2.9548E2 2.2817E-2 3.8E-4 1.8375E-8 3.1233E-7 7.7352E-8 1.6317E-6 1.E-20 2.6954E-12 7.1101E-12 2.8951E-11 1.E-20
  2   1000.0000000 0.058796911  2.9512E2 2.2502E-2 3.8E-4 1.8456E-8 3.1236E-7 7.7360E-8 1.6321E-6 1.E-20 2.7219E-12 7.0657E-12 3.0422E-11 1.E-20
  3   908.5140000  0.886562080  2.9005E2 1.8472E-2 3.8E-4 1.9640E-8 3.1282E-7 7.7473E-8 1.6380E-6 1.E-20 3.1289E-12 6.4636E-12 6.1569E-11 1.E-20
  4   825.4020000  1.699051600  2.8506E2 1.4405E-2 3.8E-4 2.7096E-8 3.1312E-7 8.2067E-8 1.6485E-6 1.E-20 5.0328E-12 7.6682E-12 1.3468E-10 1.E-20
  5   749.8930000  2.500144100  2.8324E2 5.0696E-3 3.8E-4 4.5368E-8 3.1392E-7 9.4577E-8 1.6705E-6 1.E-20 1.3249E-11 2.0654E-11 2.8660E-10 1.E-20
  6   681.2910000  3.294104200  2.8115E2 1.9646E-3 3.8E-4 6.5002E-8 3.1455E-7 1.0464E-7 1.6883E-6 1.E-20 2.9166E-11 4.5678E-11 4.2118E-10 1.E-20
  7   618.9660000  4.078710100  2.7682E2 1.6234E-3 3.8E-4 6.2874E-8 3.1460E-7 1.0246E-7 1.6929E-6 1.E-20 3.9217E-11 5.0472E-11 3.3608E-10 1.E-20
  8   562.3420000  4.850394300  2.7190E2 1.2095E-3 3.8E-4 5.9586E-8 3.1468E-7 1.0495E-7 1.7032E-6 1.E-20 3.3328E-11 3.4265E-11 1.8707E-10 1.E-20
  9   510.8980000  5.608149500  2.6686E2 9.0577E-4 3.8E-4 5.4598E-8 3.1476E-7 1.0697E-7 1.7110E-6 1.E-20 2.5657E-11 2.0568E-11 1.0255E-10 1.E-20
  10  464.1600000  6.351863300  2.6183E2 8.1868E-4 3.8E-4 4.0904E-8 3.1482E-7 9.9008E-8 1.6925E-6 1.E-20 1.9613E-11 1.0752E-11 6.9703E-11 1.E-20
  11  421.6980000  7.081388000  2.5668E2 6.7694E-4 3.8E-4 3.3771E-8 3.1489E-7 9.5304E-8 1.6820E-6 1.E-20 1.6998E-11 6.7520E-12 5.2278E-11 1.E-20
  12  383.1170000  7.796396400  2.5138E2 4.9988E-4 3.8E-4 3.1448E-8 3.1497E-7 9.6680E-8 1.6822E-6 1.E-20 1.7538E-11 5.3984E-12 4.1976E-11 1.E-20
  13  348.0690000  8.496673300  2.4618E2 3.5487E-4 3.8E-4 3.0915E-8 3.1500E-7 9.8669E-8 1.6880E-6 1.E-20 1.9255E-11 4.9147E-12 3.2416E-11 1.E-20
  14  316.2270000  9.182534500  2.4105E2 2.4692E-4 3.8E-4 3.1184E-8 3.1501E-7 1.0083E-7 1.6959E-6 1.E-20 2.1761E-11 4.7261E-12 2.5230E-11 1.E-20
  15  287.2980000  9.854661300  2.3634E2 1.3406E-4 3.8E-4 3.6705E-8 3.1501E-7 1.0322E-7 1.7000E-6 1.E-20 2.8891E-11 5.8293E-12 3.0590E-11 1.E-20
  16  261.0160000  10.513830000 2.3177E2 7.7452E-5 3.8E-4 4.4175E-8 3.1499E-7 1.0553E-7 1.7024E-6 1.E-20 3.7038E-11 7.0629E-12 4.0495E-11 1.E-20
  17  237.1370000  11.160714000 2.2750E2 5.1746E-5 3.8E-4 5.4951E-8 3.1495E-7 1.0756E-7 1.7016E-6 1.E-20 4.3838E-11 8.2453E-12 6.2658E-11 1.E-20
  18  215.4440000  11.795626000 2.2321E2 3.9222E-5 3.8E-4 6.5779E-8 3.1491E-7 1.1050E-7 1.7042E-6 1.E-20 5.3230E-11 9.5979E-12 8.7035E-11 1.E-20
  19  195.7350000  12.418551000 2.1889E2 3.1469E-5 3.8E-4 7.7231E-8 3.1487E-7 1.1416E-7 1.7089E-6 1.E-20 6.5555E-11 1.1191E-11 1.1364E-10 1.E-20
  20  177.8290000  13.029226000 2.1443E2 2.1691E-5 3.8E-4 7.9010E-8 3.1483E-7 1.0450E-7 1.7127E-6 1.E-20 7.6549E-11 1.0765E-11 1.1902E-10 1.E-20
  21  161.5610000  13.627802000 2.1022E2 1.4885E-5 3.8E-4 8.1180E-8 3.1479E-7 9.5517E-8 1.7168E-6 1.E-20 9.0959E-11 1.0625E-11 1.2656E-10 1.E-20
  22  146.7790000  14.216126000 2.0701E2 1.0467E-5 3.8E-4 8.7446E-8 3.1473E-7 8.9741E-8 1.7223E-6 1.E-20 1.1295E-10 1.1224E-11 1.4813E-10 1.E-20
  23  133.3520000  14.795891000 2.0415E2 7.8375E-6 3.8E-4 1.0283E-7 3.1460E-7 8.7575E-8 1.7275E-6 1.E-20 1.3758E-10 1.2640E-11 1.7215E-10 1.E-20
  24  121.1520000  15.368244000 2.0163E2 6.2299E-6 3.8E-4 1.3280E-7 3.1442E-7 8.8508E-8 1.7322E-6 1.E-20 1.6426E-10 1.5310E-11 2.0037E-10 1.E-20
  25  110.0690000  15.934921000 2.0008E2 5.3924E-6 3.8E-4 1.4824E-7 3.1424E-7 8.2029E-8 1.7313E-6 1.E-20 1.7244E-10 1.4965E-11 2.2406E-10 1.E-20
  26  100.0000000  16.497835000 1.9889E2 4.7895E-6 3.8E-4 1.6081E-7 3.1405E-7 7.4529E-8 1.7284E-6 1.E-20 1.7618E-10 1.4074E-11 2.4728E-10 1.E-20
  27  90.8518000   17.059495000 1.9910E2 4.4627E-6 3.8E-4 1.9247E-7 3.1364E-7 6.8999E-8 1.7212E-6 1.E-20 1.8854E-10 1.5903E-11 2.6822E-10 1.E-20
