TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 297.89999
PSUR = 1002.81
boresightNadirAngle = 0.
latitude = -10.064706
longitude = 168.77684
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O        CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR        VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  1   1002.8100000 0.000000000  2.9834E2 2.8521E-2 3.8E-4 1.5995E-8 3.1169E-7  7.1209E-8 1.6332E-6 1.E-20 3.4070E-12 6.1289E-12 1.7771E-11 1.E-20
  2   1000.0000000 0.024749299  2.9818E2 2.8156E-2 3.8E-4 1.6051E-8 3.1172E-7  7.1191E-8 1.6338E-6 1.E-20 3.3613E-12 6.0295E-12 1.8200E-11 1.E-20
  3   908.5140000  0.861854380  2.9301E2 1.8121E-2 3.8E-4 1.8074E-8 3.1284E-7  7.0591E-8 1.6533E-6 1.E-20 2.1186E-12 3.4481E-12 4.1134E-11 1.E-20
  4   825.4020000  1.683356500  2.8856E2 1.3886E-2 3.8E-4 1.9062E-8 3.1331E-7  7.0766E-8 1.6546E-6 1.E-20 2.7503E-12 3.8454E-12 1.1822E-11 1.E-20
  5   749.8930000  2.492886200  2.8523E2 1.0132E-2 3.8E-4 2.1907E-8 3.1373E-7  7.1978E-8 1.6590E-6 1.E-20 4.9154E-12 6.3106E-12 1.0082E-11 1.E-20
  6   681.2910000  3.292508300  2.8218E2 6.3190E-3 3.8E-4 2.7975E-8 3.1416E-7  7.5797E-8 1.6668E-6 1.E-20 1.0327E-11 1.2972E-11 1.4447E-11 1.E-20
  7   618.9660000  4.082333400  2.7887E2 3.1965E-3 3.8E-4 4.1880E-8 3.1455E-7  8.3864E-8 1.6818E-6 1.E-20 2.2295E-11 3.0622E-11 4.4720E-11 1.E-20
  8   562.3420000  4.861028200  2.7458E2 1.9851E-3 3.8E-4 4.5405E-8 3.1472E-7  8.7857E-8 1.6962E-6 1.E-20 2.4990E-11 2.9940E-11 4.2693E-11 1.E-20
  9   510.8980000  5.627099700  2.6995E2 1.3963E-3 3.8E-4 4.4617E-8 3.1481E-7  9.0294E-8 1.7086E-6 1.E-20 2.2679E-11 2.2256E-11 2.9083E-11 1.E-20
  10  464.1600000  6.379139500  2.6448E2 1.9746E-3 3.8E-4 3.9269E-8 3.1474E-7  8.8687E-8 1.7002E-6 1.E-20 1.4778E-11 1.1609E-11 2.1495E-11 1.E-20
  11  421.6980000  7.116403400  2.5923E2 2.4393E-3 3.8E-4 3.5071E-8 3.1470E-7  8.5894E-8 1.6918E-6 1.E-20 1.0904E-11 6.9063E-12 1.8925E-11 1.E-20
  12  383.1170000  7.839662700  2.5432E2 2.4422E-3 3.8E-4 3.2037E-8 3.1470E-7  8.1396E-8 1.6833E-6 1.E-20 9.7348E-12 5.0261E-12 2.2021E-11 1.E-20
  13  348.0690000  8.549778500  2.4987E2 2.0267E-3 3.8E-4 3.0305E-8 3.1475E-7  7.9891E-8 1.6798E-6 1.E-20 9.0135E-12 3.8164E-12 1.8959E-11 1.E-20
  14  316.2270000  9.247701700  2.4563E2 1.5504E-3 3.8E-4 2.9127E-8 3.1481E-7  7.9655E-8 1.6785E-6 1.E-20 8.5059E-12 2.9655E-12 1.4249E-11 1.E-20
  15  287.2980000  9.931488000  2.3983E2 8.9821E-4 3.8E-4 2.8404E-8 3.1487E-7  8.0376E-8 1.6805E-6 1.E-20 8.4971E-12 2.3659E-12 1.0327E-11 1.E-20
  16  261.0160000  10.599088000 2.3414E2 5.2567E-4 3.8E-4 2.7461E-8 3.1492E-7  8.0538E-8 1.6807E-6 1.E-20 8.6682E-12 1.9780E-12 9.3166E-12 1.E-20
  17  237.1370000  11.251127000 2.2871E2 3.1570E-4 3.8E-4 2.5984E-8 3.1495E-7  7.9336E-8 1.6770E-6 1.E-20 9.0307E-12 1.7943E-12 1.3274E-11 1.E-20
  18  215.4440000  11.888533000 2.2372E2 1.9277E-4 3.8E-4 2.5676E-8 3.1496E-7  7.8060E-8 1.6760E-6 1.E-20 9.3568E-12 1.6025E-12 1.4201E-11 1.E-20
  19  195.7350000  12.512407000 2.1902E2 1.1900E-4 3.8E-4 2.6140E-8 3.1497E-7  7.6755E-8 1.6767E-6 1.E-20 9.4889E-12 1.4010E-12 1.2333E-11 1.E-20
  20  177.8290000  13.122252000 2.1369E2 4.5965E-5 3.8E-4 2.5582E-8 3.1497E-7  7.6241E-8 1.6744E-6 1.E-20 1.0802E-11 1.3517E-12 1.1142E-11 1.E-20
  21  161.5610000  13.717391000 2.0851E2 1.9652E-5 3.8E-4 2.5884E-8 3.1497E-7  7.5717E-8 1.6755E-6 1.E-20 1.2797E-11 1.3323E-12 1.1430E-11 1.E-20
  22  146.7790000  14.299395000 2.0423E2 1.5915E-5 3.8E-4 3.0611E-8 3.1493E-7  7.4786E-8 1.6920E-6 1.E-20 1.6937E-11 1.3713E-12 1.9590E-11 1.E-20
  23  133.3520000  14.870185000 2.0056E2 1.1514E-5 3.8E-4 3.5212E-8 3.1493E-7  7.5070E-8 1.7025E-6 1.E-20 2.0144E-11 1.3299E-12 2.2915E-11 1.E-20
  24  121.1520000  15.431639000 1.9749E2 7.4174E-6 3.8E-4 3.9408E-8 3.1496E-7  7.6622E-8 1.7069E-6 1.E-20 2.1467E-11 1.2144E-12 1.8463E-11 1.E-20
  25  110.0690000  15.986468000 1.9582E2 5.8327E-6 3.8E-4 6.9336E-8 3.1466E-7  7.5277E-8 1.7097E-6 1.E-20 4.0134E-11 2.6696E-12 5.4603E-11 1.E-20
  26  100.0000000  16.537530000 1.9475E2 4.8785E-6 3.8E-4 1.3416E-7 3.1428E-7  7.3241E-8 1.7120E-6 1.E-20 8.3417E-11 7.1121E-12 2.1764E-10 1.E-20
  27  90.8518000   17.089241000 1.9619E2 4.4773E-6 3.8E-4 1.8844E-7 3.1405E-7  7.1782E-8 1.7130E-6 1.E-20 1.0025E-10 1.1032E-11 3.1968E-10 1.E-20
  28  82.5406000   17.645556000 1.9794E2 4.2102E-6 3.8E-4 2.7130E-7 3.1338E-7  6.7211E-8 1.7114E-6 1.E-20 1.3062E-10 1.8739E-11 4.0665E-10 1.E-20
  29  74.9896000   18.207580000 2.0015E2 4.1087E-6 3.8E-4 4.0569E-7 3.1203E-7  5.8689E-8 1.7060E-6 1.E-20 1.9259E-10 3.6561E-11 4.1507E-10 1.E-20
  30  68.1295000   18.776851000 2.0300E2 4.0115E-6 3.8E-4 6.2505E-7 3.0944E-7  5.1252E-8 1.6920E-6 1.E-20 2.1392E-10 6.0253E-11 4.8077E-10 1.E-20
  31  61.8963000   19.354730000 2.0612E2 3.9172E-6 3.8E-4 9.7551E-7 3.0635E-7  4.4757E-8 1.6745E-6 1.E-20 2.1066E-10 9.2414E-11 5.8761E-10 1.E-20
  32  56.2339000   19.940834000 2.0878E2 3.8787E-6 3.8E-4 1.4443E-6 3.0521E-7  3.7707E-8 1.6711E-6 1.E-20 1.6963E-10 1.1014E-10 6.5704E-10 1.E-20
  33  51.0896000   20.534459000 2.1137E2 3.8487E-6 3.8E-4 2.0076E-6 3.0441E-7  3.2666E-8 1.6692E-6 1.E-20 1.4167E-10 1.2717E-10 7.1649E-10 1.E-20
  34  46.4158000   21.135099000 2.1365E2 3.8522E-6 3.8E-4 1.7881E-6 3.0511E-7  3.5389E-8 1.6705E-6 1.E-20 1.7121E-10 1.3064E-10 6.7330E-10 1.E-20
  35  42.1696000   21.742044000 2.1575E2 3.8637E-6 3.8E-4 1.7310E-6 3.0456E-7  3.6847E-8 1.6676E-6 1.E-20 2.0536E-10 1.4441E-10 6.7502E-10 1.E-20
  36  38.3119000   22.354233000 2.1728E2 3.8994E-6 3.8E-4 2.1437E-6 3.0026E-7  3.4047E-8 1.6523E-6 1.E-20 2.3977E-10 1.9883E-10 8.2047E-10 1.E-20
  37  34.8071000   22.970745000 2.1872E2 3.9389E-6 3.8E-4 2.7148E-6 2.9358E-7  3.0580E-8 1.6309E-6 1.E-20 2.8434E-10 2.8222E-10 1.0181E-9  1.E-20
  38  31.6229000   23.591245000 2.2001E2 3.9864E-6 3.8E-4 3.5828E-6 2.8222E-7  2.5906E-8 1.5974E-6 1.E-20 3.4770E-10 4.2590E-10 1.3170E-9  1.E-20
  39  28.7299000   24.215285000 2.2112E2 4.0333E-6 3.8E-4 4.5403E-6 2.7328E-7  2.3032E-8 1.5720E-6 1.E-20 4.1541E-10 5.9989E-10 1.5797E-9  1.E-20
  40  26.1017000   24.842133000 2.2193E2 4.0788E-6 3.8E-4 5.3462E-6 2.6815E-7  2.2342E-8 1.5604E-6 1.E-20 4.7573E-10 7.4546E-10 1.6520E-9  1.E-20
  41  23.7136000   25.471504000 2.2275E2 4.1237E-6 3.8E-4 6.1420E-6 2.6327E-7  2.2035E-8 1.5485E-6 1.E-20 5.5548E-10 9.2111E-10 1.7088E-9  1.E-20
  42  21.5443000   26.103284000 2.2361E2 4.1667E-6 3.8E-4 6.7141E-6 2.5879E-7  2.2465E-8 1.5358E-6 1.E-20 6.7437E-10 1.1247E-9  1.7281E-9  1.E-20
  43  19.5734000   26.737671000 2.2449E2 4.2068E-6 3.8E-4 7.3075E-6 2.5358E-7  2.2938E-8 1.5228E-6 1.E-20 8.2071E-10 1.3710E-9  1.7427E-9  1.E-20
  44  17.7828000   27.374762000 2.2543E2 4.2373E-6 3.8E-4 7.8489E-6 2.4620E-7  2.3527E-8 1.5092E-6 1.E-20 1.0056E-9  1.6637E-9  1.7430E-9  1.E-20
  45  16.1560000   28.014605000 2.2634E2 4.2664E-6 3.8E-4 8.4384E-6 2.3941E-7  2.4255E-8 1.4971E-6 1.E-20 1.2271E-9  2.0093E-9  1.7396E-9  1.E-20
  46  14.6780000   28.656769000 2.2697E2 4.2839E-6 3.8E-4 9.1320E-6 2.3542E-7  2.5906E-8 1.4945E-6 1.E-20 1.4554E-9  2.3495E-9  1.7112E-9  1.E-20
  47  13.3352000   29.300868000 2.2761E2 4.3013E-6 3.8E-4 9.8851E-6 2.3149E-7  2.7669E-8 1.4920E-6 1.E-20 1.7270E-9  2.7482E-9  1.6840E-9  1.E-20
  48  12.1153000   29.946783000 2.2818E2 4.3183E-6 3.8E-4 1.0361E-5 2.3075E-7  2.9512E-8 1.5044E-6 1.E-20 1.9586E-9  2.9751E-9  1.5653E-9  1.E-20
  49  11.0070000   30.594428000 2.2874E2 4.3353E-6 3.8E-4 1.0843E-5 2.3021E-7  3.1475E-8 1.5179E-6 1.E-20 2.2159E-9  3.2065E-9  1.4504E-9  1.E-20
  50  10.0000000   31.243936000 2.2936E2 4.3604E-6 3.8E-4 1.1175E-5 2.3034E-7  3.3999E-8 1.5334E-6 1.E-20 2.5315E-9  3.4257E-9  1.3532E-9  1.E-20
  51  9.0851400    31.895355000 2.3000E2 4.3888E-6 3.8E-4 1.1447E-5 2.3073E-7  3.6915E-8 1.5498E-6 1.E-20 2.9032E-9  3.6468E-9  1.2658E-9  1.E-20
  52  8.2540200    32.549197000 2.3100E2 4.4281E-6 3.8E-4 1.1516E-5 2.2676E-7  3.9317E-8 1.5519E-6 1.E-20 3.4322E-9  3.9554E-9  1.2156E-9  1.E-20
  53  7.4989300    33.206680000 2.3247E2 4.4822E-6 3.8E-4 1.1310E-5 2.1725E-7  4.0811E-8 1.5347E-6 1.E-20 4.2269E-9  4.3996E-9  1.2094E-9  1.E-20
  54  6.8129100    33.868661000 2.3407E2 4.5399E-6 3.8E-4 1.1064E-5 2.0677E-7  4.2270E-8 1.5151E-6 1.E-20 5.2016E-9  4.8808E-9  1.1977E-9  1.E-20
  55  6.1896600    34.537196000 2.3700E2 4.6280E-6 3.8E-4 1.0407E-5 1.8434E-7  4.2849E-8 1.4701E-6 1.E-20 6.3320E-9  5.2611E-9  1.1298E-9  1.E-20
  56  5.6234200    35.214210000 2.3994E2 4.7179E-6 3.8E-4 9.7904E-6 1.6434E-7  4.3437E-8 1.4264E-6 1.E-20 7.7089E-9  5.6714E-9  1.0659E-9  1.E-20
  57  5.1089800    35.899475000 2.4271E2 4.8051E-6 3.8E-4 9.1039E-6 1.4476E-7  4.3726E-8 1.3751E-6 1.E-20 9.0618E-9  5.7757E-9  9.5736E-10 1.E-20
  58  4.6416000    36.592673000 2.4542E2 4.8920E-6 3.8E-4 8.4280E-6 1.2686E-7  4.3889E-8 1.3220E-6 1.E-20 1.0495E-8  5.7421E-9  8.4222E-10 1.E-20
  59  4.2169800    37.293302000 2.4784E2 4.9756E-6 3.8E-4 7.8233E-6 1.1146E-7  4.4129E-8 1.2735E-6 1.E-20 1.2029E-8  5.6059E-9  7.3235E-10 1.E-20
  60  3.8311700    37.999849000 2.4943E2 5.0469E-6 3.8E-4 7.3173E-6 9.8654E-8  4.4591E-8 1.2339E-6 1.E-20 1.3390E-8  5.2007E-9  6.1633E-10 1.E-20
  61  3.4806900    38.711016000 2.5103E2 5.1193E-6 3.8E-4 6.8441E-6 8.7290E-8  4.5057E-8 1.1955E-6 1.E-20 1.4905E-8  4.8248E-9  5.1871E-10 1.E-20
