TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 298.4642
PSUR = 1002.33
boresightNadirAngle = 0.
latitude = 0.014305
longitude = 166.23729
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O        CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR        VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  1   1002.3300000 0.000000000  2.9924E2 2.6172E-2 3.8E-4 1.5098E-8 3.1196E-7  7.5718E-8 1.6556E-6 1.E-20 1.4164E-12 2.6099E-12 2.5160E-11 1.E-20
  2   1000.0000000 0.020572218  2.9908E2 2.6056E-2 3.8E-4 1.5104E-8 3.1197E-7  7.5691E-8 1.6558E-6 1.E-20 1.4246E-12 2.6143E-12 2.5435E-11 1.E-20
  3   908.5140000  0.858779350  2.9273E2 2.1702E-2 3.8E-4 1.5335E-8 3.1243E-7  7.4605E-8 1.6639E-6 1.E-20 1.8094E-12 2.8001E-12 3.9827E-11 1.E-20
  4   825.4020000  1.680833300  2.8878E2 1.4539E-2 3.8E-4 1.0995E-8 3.1327E-7  6.8701E-8 1.6722E-6 1.E-20 1.7152E-12 1.6811E-12 6.2409E-12 1.E-20
  5   749.8930000  2.491180800  2.8541E2 1.1170E-2 3.8E-4 1.0635E-8 3.1367E-7  6.7237E-8 1.6746E-6 1.E-20 2.3126E-12 1.7406E-12 4.7814E-12 1.E-20
  6   681.2910000  3.291445300  2.8212E2 8.4689E-3 3.8E-4 1.5283E-8 3.1396E-7  7.0745E-8 1.6793E-6 1.E-20 4.8620E-12 3.7965E-12 2.4687E-11 1.E-20
  7   618.9660000  4.080951400  2.7820E2 5.8720E-3 3.8E-4 2.5054E-8 3.1428E-7  7.7099E-8 1.6842E-6 1.E-20 8.7902E-12 8.0498E-12 6.8468E-11 1.E-20
  8   562.3420000  4.858563400  2.7389E2 5.0457E-3 3.8E-4 2.6029E-8 3.1439E-7  7.7269E-8 1.6848E-6 1.E-20 8.2113E-12 6.4772E-12 4.8518E-11 1.E-20
  9   510.8980000  5.623845400  2.6945E2 4.5282E-3 3.8E-4 2.4675E-8 3.1445E-7  7.5891E-8 1.6847E-6 1.E-20 7.3809E-12 4.8272E-12 2.9746E-11 1.E-20
  10  464.1600000  6.376184900  2.6481E2 2.6457E-3 3.8E-4 2.9159E-8 3.1464E-7  7.7167E-8 1.6888E-6 1.E-20 9.5732E-12 5.6526E-12 4.0514E-11 1.E-20
  11  421.6980000  7.115080000  2.6007E2 1.6255E-3 3.8E-4 3.2233E-8 3.1479E-7  7.7976E-8 1.6919E-6 1.E-20 1.1389E-11 5.8319E-12 4.7839E-11 1.E-20
  12  383.1170000  7.840401100  2.5515E2 1.0996E-3 3.8E-4 3.2113E-8 3.1485E-7  7.8015E-8 1.6932E-6 1.E-20 1.1693E-11 4.8922E-12 4.5187E-11 1.E-20
  13  348.0690000  8.551738000  2.5014E2 9.0172E-4 3.8E-4 2.9162E-8 3.1488E-7  7.7769E-8 1.7028E-6 1.E-20 1.0558E-11 3.4933E-12 2.8300E-11 1.E-20
  14  316.2270000  9.249062700  2.4511E2 8.0365E-4 3.8E-4 2.5542E-8 3.1490E-7  7.7402E-8 1.7163E-6 1.E-20 9.0410E-12 2.3501E-12 1.5042E-11 1.E-20
  15  287.2980000  9.931055600  2.3920E2 3.1300E-4 3.8E-4 2.6749E-8 3.1494E-7  7.9925E-8 1.7212E-6 1.E-20 9.1250E-12 1.9612E-12 1.2863E-11 1.E-20
  16  261.0160000  10.596899000 2.3361E2 1.5445E-4 3.8E-4 2.7558E-8 3.1497E-7  8.1757E-8 1.7205E-6 1.E-20 9.2229E-12 1.6529E-12 1.2019E-11 1.E-20
  17  237.1370000  11.248216000 2.2878E2 1.0445E-4 3.8E-4 2.7162E-8 3.1498E-7  8.1708E-8 1.7065E-6 1.E-20 9.2343E-12 1.4131E-12 1.3743E-11 1.E-20
  18  215.4440000  11.885795000 2.2380E2 8.1191E-5 3.8E-4 2.5960E-8 3.1498E-7  8.0828E-8 1.6973E-6 1.E-20 8.6480E-12 1.1370E-12 1.5305E-11 1.E-20
  19  195.7350000  12.509324000 2.1871E2 6.9229E-5 3.8E-4 2.4320E-8 3.1499E-7  7.9394E-8 1.6915E-6 1.E-20 7.7530E-12 8.8064E-13 1.7249E-11 1.E-20
  20  177.8290000  13.119065000 2.1393E2 5.2849E-5 3.8E-4 2.6397E-8 3.1499E-7  8.0346E-8 1.6923E-6 1.E-20 9.5536E-12 9.9627E-13 2.0087E-11 1.E-20
  21  161.5610000  13.715716000 2.0934E2 3.8536E-5 3.8E-4 2.8715E-8 3.1499E-7  8.1412E-8 1.6942E-6 1.E-20 1.2518E-11 1.1990E-12 2.2119E-11 1.E-20
  22  146.7790000  14.300531000 2.0539E2 2.4404E-5 3.8E-4 2.8122E-8 3.1499E-7  8.1609E-8 1.6972E-6 1.E-20 1.3429E-11 1.0944E-12 1.8591E-11 1.E-20
  23  133.3520000  14.873313000 2.0081E2 1.3582E-5 3.8E-4 2.6916E-8 3.1499E-7  8.1176E-8 1.6991E-6 1.E-20 1.3295E-11 9.0986E-13 1.3929E-11 1.E-20
  24  121.1520000  15.432396000 1.9556E2 6.6058E-6 3.8E-4 2.5278E-8 3.1499E-7  8.0111E-8 1.7001E-6 1.E-20 1.2377E-11 7.0619E-13 9.7371E-12 1.E-20
  25  110.0690000  15.983215000 1.9491E2 4.8776E-6 3.8E-4 4.7628E-8 3.1463E-7  7.8328E-8 1.7089E-6 1.E-20 2.7351E-11 1.6315E-12 3.8809E-11 1.E-20
  26  100.0000000  16.534135000 1.9556E2 4.0908E-6 3.8E-4 1.0898E-7 3.1412E-7  7.6230E-8 1.7190E-6 1.E-20 7.9115E-11 5.3902E-12 2.5596E-10 1.E-20
  27  90.8518000   17.087652000 1.9666E2 3.9715E-6 3.8E-4 1.9358E-7 3.1298E-7  7.2437E-8 1.7184E-6 1.E-20 9.7854E-11 1.0210E-11 3.6253E-10 1.E-20
  28  82.5406000   17.644786000 1.9805E2 3.9278E-6 3.8E-4 3.2105E-7 3.1193E-7  6.8746E-8 1.7190E-6 1.E-20 1.3037E-10 1.9830E-11 4.6927E-10 1.E-20
  29  74.9896000   18.206584000 1.9988E2 3.9948E-6 3.8E-4 4.6169E-7 3.1100E-7  6.5104E-8 1.7214E-6 1.E-20 1.9096E-10 3.6726E-11 5.0794E-10 1.E-20
  30  68.1295000   18.774667000 2.0243E2 4.0239E-6 3.8E-4 6.5036E-7 3.1000E-7  5.7669E-8 1.7140E-6 1.E-20 2.1312E-10 5.4837E-11 5.2739E-10 1.E-20
  31  61.8963000   19.350568000 2.0529E2 4.0366E-6 3.8E-4 9.1513E-7 3.0898E-7  4.9789E-8 1.7026E-6 1.E-20 2.1189E-10 7.5182E-11 5.4036E-10 1.E-20
  32  56.2339000   19.934296000 2.0793E2 3.9879E-6 3.8E-4 1.2305E-6 3.0796E-7  4.2972E-8 1.6919E-6 1.E-20 1.8784E-10 8.9354E-11 5.8932E-10 1.E-20
  33  51.0896000   20.525575000 2.1056E2 3.9376E-6 3.8E-4 1.6307E-6 3.0695E-7  3.7265E-8 1.6822E-6 1.E-20 1.6771E-10 1.0539E-10 6.4545E-10 1.E-20
  34  46.4158000   21.124445000 2.1321E2 3.9016E-6 3.8E-4 1.9729E-6 3.0594E-7  3.3462E-8 1.6788E-6 1.E-20 1.6715E-10 1.2558E-10 7.0143E-10 1.E-20
  35  42.1696000   21.730625000 2.1565E2 3.8813E-6 3.8E-4 2.3983E-6 3.0423E-7  2.9821E-8 1.6743E-6 1.E-20 1.7340E-10 1.5502E-10 7.8323E-10 1.E-20
  36  38.3119000   22.343010000 2.1752E2 3.9073E-6 3.8E-4 2.9557E-6 3.0046E-7  2.5911E-8 1.6667E-6 1.E-20 2.0278E-10 2.1275E-10 9.4886E-10 1.E-20
  37  34.8071000   22.960664000 2.1929E2 3.9345E-6 3.8E-4 3.6195E-6 2.9683E-7  2.3176E-8 1.6599E-6 1.E-20 2.3373E-10 2.8453E-10 1.1033E-9  1.E-20
  38  31.6229000   23.583213000 2.2089E2 3.9639E-6 3.8E-4 4.3728E-6 2.9341E-7  2.1944E-8 1.6546E-6 1.E-20 2.6093E-10 3.6078E-10 1.1786E-9  1.E-20
  39  28.7299000   24.210181000 2.2231E2 3.9970E-6 3.8E-4 5.1645E-6 2.8977E-7  2.1121E-8 1.6494E-6 1.E-20 2.9743E-10 4.5397E-10 1.2419E-9  1.E-20
  40  26.1017000   24.840848000 2.2344E2 4.0363E-6 3.8E-4 5.8557E-6 2.8571E-7  2.0933E-8 1.6441E-6 1.E-20 3.5209E-10 5.6393E-10 1.2777E-9  1.E-20
  41  23.7136000   25.474592000 2.2433E2 4.0747E-6 3.8E-4 6.5647E-6 2.8240E-7  2.1021E-8 1.6399E-6 1.E-20 4.1688E-10 6.9007E-10 1.3009E-9  1.E-20
  42  21.5443000   26.110251000 2.2477E2 4.1107E-6 3.8E-4 7.1878E-6 2.8052E-7  2.1678E-8 1.6377E-6 1.E-20 4.9353E-10 8.1683E-10 1.2930E-9  1.E-20
  43  19.5734000   26.747145000 2.2510E2 4.1460E-6 3.8E-4 7.8069E-6 2.7812E-7  2.2399E-8 1.6343E-6 1.E-20 5.9217E-10 9.6959E-10 1.2898E-9  1.E-20
  44  17.7828000   27.384620000 2.2509E2 4.1780E-6 3.8E-4 8.2748E-6 2.7420E-7  2.3281E-8 1.6269E-6 1.E-20 7.3820E-10 1.1605E-9  1.3005E-9  1.E-20
  45  16.1560000   28.022213000 2.2509E2 4.2097E-6 3.8E-4 8.7813E-6 2.6987E-7  2.4277E-8 1.6184E-6 1.E-20 9.1785E-10 1.3857E-9  1.3109E-9  1.E-20
  46  14.6780000   28.659901000 2.2506E2 4.2376E-6 3.8E-4 9.3930E-6 2.6238E-7  2.5900E-8 1.6018E-6 1.E-20 1.1206E-9  1.6239E-9  1.3148E-9  1.E-20
  47  13.3352000   29.297653000 2.2504E2 4.2657E-6 3.8E-4 1.0050E-5 2.5512E-7  2.7632E-8 1.5854E-6 1.E-20 1.3692E-9  1.9032E-9  1.3188E-9  1.E-20
  48  12.1153000   29.936026000 2.2543E2 4.2909E-6 3.8E-4 1.0386E-5 2.4690E-7  2.9116E-8 1.5699E-6 1.E-20 1.7202E-9  2.2489E-9  1.3361E-9  1.E-20
  49  11.0070000   30.575660000 2.2584E2 4.3160E-6 3.8E-4 1.0711E-5 2.3894E-7  3.0666E-8 1.5547E-6 1.E-20 2.1672E-9  2.6617E-9  1.3554E-9  1.E-20
  50  10.0000000   31.217352000 2.2675E2 4.3415E-6 3.8E-4 1.0993E-5 2.3145E-7  3.2271E-8 1.5421E-6 1.E-20 2.6375E-9  3.0407E-9  1.3352E-9  1.E-20
  51  9.0851400    31.862029000 2.2786E2 4.3671E-6 3.8E-4 1.1260E-5 2.2427E-7  3.3948E-8 1.5307E-6 1.E-20 3.1654E-9  3.4239E-9  1.2998E-9  1.E-20
  52  8.2540200    32.510474000 2.2934E2 4.4034E-6 3.8E-4 1.1375E-5 2.1702E-7  3.5906E-8 1.5189E-6 1.E-20 3.7684E-9  3.7904E-9  1.2532E-9  1.E-20
  53  7.4989300    33.163990000 2.3134E2 4.4540E-6 3.8E-4 1.1282E-5 2.0964E-7  3.8254E-8 1.5067E-6 1.E-20 4.4369E-9  4.1018E-9  1.1924E-9  1.E-20
  54  6.8129100    33.823479000 2.3345E2 4.5078E-6 3.8E-4 1.1134E-5 2.0112E-7  4.0598E-8 1.4921E-6 1.E-20 5.2476E-9  4.4450E-9  1.1351E-9  1.E-20
  55  6.1896600    34.490514000 2.3657E2 4.5882E-6 3.8E-4 1.0462E-5 1.7997E-7  4.1453E-8 1.4528E-6 1.E-20 6.4740E-9  4.8706E-9  1.0826E-9  1.E-20
  56  5.6234200    35.166552000 2.3969E2 4.6700E-6 3.8E-4 9.8328E-6 1.6106E-7  4.2327E-8 1.4145E-6 1.E-20 7.9881E-9  5.3375E-9  1.0326E-9  1.E-20
  57  5.1089800    35.851537000 2.4277E2 4.7543E-6 3.8E-4 9.1439E-6 1.4369E-7  4.2934E-8 1.3679E-6 1.E-20 9.4009E-9  5.4712E-9  9.2480E-10 1.E-20
  58  4.6416000    36.545392000 2.4583E2 4.8406E-6 3.8E-4 8.4695E-6 1.2806E-7  4.3426E-8 1.3190E-6 1.E-20 1.0845E-8  5.4521E-9  8.0646E-10 1.E-20
  59  4.2169800    37.247672000 2.4860E2 4.9235E-6 3.8E-4 7.8726E-6 1.1322E-7  4.3927E-8 1.2703E-6 1.E-20 1.2307E-8  5.3069E-9  6.9088E-10 1.E-20
  60  3.8311700    37.956894000 2.5056E2 4.9938E-6 3.8E-4 7.3903E-6 9.7835E-8  4.4438E-8 1.2190E-6 1.E-20 1.3334E-8  4.8351E-9  5.6301E-10 1.E-20
