TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 298.22244
PSUR = 1002.21
boresightNadirAngle = 0.
latitude = 4.8906652
longitude = 165.19489
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  1   1002.2100000 0.000000000  2.9942E2 2.6246E-2 3.8E-4 9.9090E-9 3.1196E-7 7.1234E-8 1.6755E-6 1.E-20 1.1399E-12 1.4902E-12 1.0739E-11 1.E-20
  2   1000.0000000 0.019526555  2.9927E2 2.6147E-2 3.8E-4 9.9220E-9 3.1197E-7 7.1212E-8 1.6755E-6 1.E-20 1.1447E-12 1.4921E-12 1.0866E-11 1.E-20
  3   908.5140000  0.858361070  2.9292E2 2.2194E-2 3.8E-4 1.0505E-8 3.1239E-7 7.0273E-8 1.6760E-6 1.E-20 1.3750E-12 1.5769E-12 1.8099E-11 1.E-20
  4   825.4020000  1.680501400  2.8839E2 1.6509E-2 3.8E-4 1.0269E-8 3.1305E-7 6.6099E-8 1.6804E-6 1.E-20 1.6182E-12 1.5290E-12 1.1687E-11 1.E-20
  5   749.8930000  2.490316900  2.8509E2 1.2367E-2 3.8E-4 1.0614E-8 3.1350E-7 6.4201E-8 1.6805E-6 1.E-20 2.0431E-12 1.6501E-12 6.5661E-12 1.E-20
  6   681.2910000  3.290336400  2.8205E2 9.3401E-3 3.8E-4 1.2228E-8 3.1389E-7 6.4562E-8 1.6783E-6 1.E-20 2.9914E-12 2.2387E-12 7.3255E-12 1.E-20
  7   618.9660000  4.079635500  2.7784E2 7.7322E-3 3.8E-4 1.4697E-8 3.1408E-7 6.5483E-8 1.6781E-6 1.E-20 4.1112E-12 2.9154E-12 9.4005E-12 1.E-20
  8   562.3420000  4.856746600  2.7358E2 6.2498E-3 3.8E-4 1.9281E-8 3.1424E-7 6.7131E-8 1.6830E-6 1.E-20 5.7791E-12 4.2563E-12 1.6034E-11 1.E-20
  9   510.8980000  5.621590100  2.6928E2 4.9912E-3 3.8E-4 2.6213E-8 3.1440E-7 6.9219E-8 1.6893E-6 1.E-20 8.0862E-12 6.2308E-12 2.9889E-11 1.E-20
  10  464.1600000  6.373768800  2.6471E2 3.7535E-3 3.8E-4 2.8925E-8 3.1453E-7 7.3294E-8 1.6943E-6 1.E-20 8.5016E-12 5.7693E-12 3.8172E-11 1.E-20
  11  421.6980000  7.112898900  2.6010E2 2.9276E-3 3.8E-4 2.9481E-8 3.1464E-7 7.5821E-8 1.6984E-6 1.E-20 8.3980E-12 4.7971E-12 3.9142E-11 1.E-20
  12  383.1170000  7.838987700  2.5541E2 2.4291E-3 3.8E-4 2.5747E-8 3.1470E-7 7.5503E-8 1.7012E-6 1.E-20 7.3242E-12 3.2423E-12 2.5765E-11 1.E-20
  13  348.0690000  8.551116500  2.5025E2 1.5844E-3 3.8E-4 2.2991E-8 3.1479E-7 7.5880E-8 1.7114E-6 1.E-20 7.1442E-12 2.3967E-12 1.1915E-11 1.E-20
  14  316.2270000  9.248366300  2.4487E2 9.4135E-4 3.8E-4 2.0795E-8 3.1488E-7 7.6592E-8 1.7250E-6 1.E-20 7.3388E-12 1.8528E-12 5.1101E-12 1.E-20
  15  287.2980000  9.930434100  2.3946E2 5.4087E-4 3.8E-4 2.3550E-8 3.1492E-7 7.8303E-8 1.7364E-6 1.E-20 8.8420E-12 1.9862E-12 7.3039E-12 1.E-20
  16  261.0160000  10.597316000 2.3405E2 3.3221E-4 3.8E-4 2.6332E-8 3.1495E-7 7.9803E-8 1.7467E-6 1.E-20 1.0451E-11 2.1079E-12 1.0749E-11 1.E-20
  17  237.1370000  11.249137000 2.2867E2 2.3660E-4 3.8E-4 2.7882E-8 3.1497E-7 8.0672E-8 1.7544E-6 1.E-20 1.1554E-11 2.0885E-12 1.2928E-11 1.E-20
  18  215.4440000  11.886075000 2.2344E2 1.3659E-4 3.8E-4 3.0286E-8 3.1498E-7 8.1992E-8 1.7567E-6 1.E-20 1.3750E-11 2.1872E-12 1.7325E-11 1.E-20
  19  195.7350000  12.508539000 2.1831E2 6.8017E-5 3.8E-4 3.4009E-8 3.1499E-7 8.3699E-8 1.7554E-6 1.E-20 1.7796E-11 2.5052E-12 2.6535E-11 1.E-20
  20  177.8290000  13.117515000 2.1379E2 3.5368E-5 3.8E-4 3.5941E-8 3.1500E-7 8.4323E-8 1.7433E-6 1.E-20 2.2838E-11 2.7193E-12 3.1960E-11 1.E-20
  21  161.5610000  13.714063000 2.0941E2 2.0105E-5 3.8E-4 3.5814E-8 3.1500E-7 8.4269E-8 1.7293E-6 1.E-20 2.5511E-11 2.5448E-12 3.1971E-11 1.E-20
  22  146.7790000  14.298805000 2.0527E2 1.5969E-5 3.8E-4 2.8396E-8 3.1499E-7 8.1921E-8 1.7121E-6 1.E-20 1.5711E-11 1.2775E-12 1.7743E-11 1.E-20
  23  133.3520000  14.871994000 2.0122E2 1.1004E-5 3.8E-4 2.9470E-8 3.1496E-7 8.0512E-8 1.7058E-6 1.E-20 1.5925E-11 1.0996E-12 1.9418E-11 1.E-20
