TES_File_ID = L2:  Cloud Data
Data_Size = 25 x 2
CloudPressure = 301.70966
ScalePressure = 0.1
ConvertToOD = 1.1531077
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Frequencies      verticalEXT     
(cm-1)           na              
       600.00000       0.48344746
       650.00000       0.47373703
       700.00000       0.46281335
       750.00000       0.45276150
       800.00000       0.44175452
       850.00000       0.42268512
       900.00000       0.39892328
       950.00000       0.41777620
       975.00000       0.43193752
       1000.0000       0.44609886
       1025.0000       0.45280397
       1050.0000       0.45950824
       1075.0000       0.46621338
       1100.0000       0.47291431
       1150.0000       0.46991232
       1200.0000       0.46691036
       1250.0000       0.46392420
       1300.0000       0.46099967
       1350.0000       0.45807514
       1400.0000       0.45514977
       1900.0000       0.45267490
       2000.0000       0.45494241
       2100.0000       0.45076880
       2200.0000       0.44673756
       2250.0000       0.44566917
