TES_File_ID = L2:  Cloud Data
Data_Size = 25 x 2
CloudPressure = 450.
ScalePressure = 0.1
ConvertToOD = 1.3518352
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Frequencies      verticalEXT     
(cm-1)           na              
       600.00000      0.058745828
       650.00000      0.056538370
       700.00000      0.053493313
       750.00000      0.048053715
       800.00000      0.040162012
       850.00000      0.032897048
       900.00000      0.029589405
       950.00000      0.031715523
       975.00000      0.035374388
       1000.0000      0.041780896
       1025.0000      0.053803761
       1050.0000      0.063605823
       1075.0000      0.060833674
       1100.0000      0.055026688
       1150.0000      0.057326540
       1200.0000      0.064061329
       1250.0000      0.069380172
       1300.0000      0.073540844
       1350.0000      0.077286683
       1400.0000      0.080672324
       1900.0000      0.094608471
       2000.0000      0.095743276
       2100.0000      0.095505923
       2200.0000      0.094995357
       2250.0000      0.094740070
